ID,Chromosome,Position,Distance2TSS_GeneA,In.prom,RefSeq_GeneA,Name_GeneA,TSS_GeneA,TSE_GeneA,Strand_GeneA,Distance2TSE_GeneB,RefSeq_GeneB,Name_GeneB,TSS_GeneB,TSE_GeneB,Strand_GeneB,inCpG,RepeatName,RepeatClass,RepeatFamily,Distance2CpG,Which_CpG_Edge,CpG_Name,CpG_Chr,CpG_Start,CpG_End,CpG_perGc,CpG_obsExp.x,GF3_1,GF4_1,GF5_1,GF6_1,GF7_1,GF8_1,SpfKoC4M1,SpfKoC4M2,SpfKoC4M5,SpfKoC5M1,SpfKoC5M3,SpfKoC5M4,AvgWT,AvgKO,KO.WT,ttest2,pttest2,cgi.shore,in.gene
SmaI_mm9_100148,chr10,94879080,-234,1,NM_001168655,Socs2,94878846,94874124,-,-4956,NM_007706,Socs2,94879491,94874124,-,Y,N,N,N,-649,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0,0,0,0,0.3,2.19,2.05,1.59,1.95,1.28,2.13,0.05,1.865,1.815,3.43E-07,6.464708412,0,0
SmaI_mm9_100152,chr10,94880039,-548,1,NM_007706,Socs2,94879491,94874124,-,-5915,NM_007706,Socs2,94879491,94874124,-,N,N,N,N,310,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0,0,0,0,0,0.97,0.67,1.33,0.62,0.79,0.57,0,0.825,0.825,3.41E-05,4.467179399,1,0
SmaI_mm9_100153,chr10,94880288,-797,1,NM_007706,Socs2,94879491,94874124,-,-6164,NM_007706,Socs2,94879491,94874124,-,N,N,N,N,559,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0,0.53,1.22,0,0,0.93,1.13,0.63,1.79,0.76,1.97,0.291666667,1.201666667,0.91,0.013790814,1.860410099,1,0
SmaI_mm9_100155,chr10,94977770,-26,1,NM_080560,Ube2n,94977796,95008292,+,-30522,NM_080560,Ube2n,94977796,95008292,+,Y,N,N,N,473,CpG_Start,CpG: 141,chr10,94977297,94978527,67.7,1,0.15,0,0,0.16,0.17,0.13,0.24,0.28,0.49,0.46,0.27,0.32,0.101666667,0.343333333,0.241666666,0.001194057,2.922974941,0,0
SmaI_mm9_100156,chr10,94978079,283,1,NM_080560,Ube2n,94977796,95008292,+,-30213,NM_080560,Ube2n,94977796,95008292,+,Y,GC_rich,Low_complexity,Low_complexity,-448,CpG_End,CpG: 141,chr10,94977297,94978527,67.7,1,0,0,0,0,0,0,0.26,0.1,0.41,0.52,0.31,0.24,0,0.306666667,0.306666667,0.000418803,3.377990216,0,1
SmaI_mm9_100157,chr10,94978120,324,1,NM_080560,Ube2n,94977796,95008292,+,-30172,NM_080560,Ube2n,94977796,95008292,+,Y,N,N,N,-407,CpG_End,CpG: 141,chr10,94977297,94978527,67.7,1,0,0,0,0,0,0,0.12,0,0.16,0,0.1,0,0,0.063333333,0.063333333,0.056672051,1.24663107,0,1
SmaI_mm9_100158,chr10,94978312,516,0,NM_080560,Ube2n,94977796,95008292,+,-29980,NM_080560,Ube2n,94977796,95008292,+,Y,N,N,N,-215,CpG_End,CpG: 141,chr10,94977297,94978527,67.7,1,0,0,0,0,NA,0,0.25,0.27,0,0.14,0.19,0.14,0,0.165,0.165,0.004507695,2.346045477,0,1
SmaI_mm9_100189,chr10,95403303,6,1,NM_001001932,Eea1,95403297,95508152,+,-104849,NM_001001932,Eea1,95403297,95508152,+,Y,GC_rich,Low_complexity,Low_complexity,108,CpG_Start,CpG: 88,chr10,95403195,95403966,69.3,0.95,0,0,0,0,0.34,0.33,0,0,0,0,0,0,0.111666667,0,-0.111666667,0.144987854,0.838668378,0,1
SmaI_mm9_100190,chr10,95403675,378,1,NM_001001932,Eea1,95403297,95508152,+,-104477,NM_001001932,Eea1,95403297,95508152,+,Y,N,N,N,-291,CpG_End,CpG: 88,chr10,95403195,95403966,69.3,0.95,0.12,0,0,0,0,0,1.2,0,0,0.39,0,0.66,0.02,0.375,0.355,0.10576956,0.975639302,0,1
SmaI_mm9_100222,chr10,95998212,-81423,0,NM_007569,Btg1,96079635,96085443,+,-87231,NM_007569,Btg1,96079635,96085443,+,N,N,N,N,-80907,CpG_Start,CpG: 128,chr10,96079119,96080418,64.9,0.94,86.78,89.5,88.46,91.17,91.05,87.61,79.07,73.88,80.73,80.6,67.98,68.36,89.095,75.10333333,-13.99166667,0.000248647,3.604416776,0,0
SmaI_mm9_100223,chr10,95998442,-81193,0,NM_007569,Btg1,96079635,96085443,+,-87001,NM_007569,Btg1,96079635,96085443,+,N,N,N,N,-80677,CpG_Start,CpG: 128,chr10,96079119,96080418,64.9,0.94,98.84,97.74,97.44,96.61,97.3,93.19,86.66,85.52,87.05,87.75,77.42,79.62,96.85333333,84.00333333,-12.85,6.14E-05,4.212009202,0,0
SmaI_mm9_100229,chr10,96079582,-53,1,NM_007569,Btg1,96079635,96085443,+,-5861,NM_007569,Btg1,96079635,96085443,+,Y,N,N,N,463,CpG_Start,CpG: 128,chr10,96079119,96080418,64.9,0.94,0.18,0.08,0.11,0.38,0.65,0.16,0.5,0.8,0.72,0.4,0.32,0.4,0.26,0.523333333,0.263333333,0.051423284,1.288840192,0,0
SmaI_mm9_100230,chr10,96079893,258,1,NM_007569,Btg1,96079635,96085443,+,-5550,NM_007569,Btg1,96079635,96085443,+,Y,N,N,N,-525,CpG_End,CpG: 128,chr10,96079119,96080418,64.9,0.94,0,0.08,0,0.1,0,0,0.26,0.5,0.58,0.6,0.65,0.42,0.03,0.501666667,0.471666667,1.73E-05,4.762456262,0,1
SmaI_mm9_100232,chr10,96079978,343,1,NM_007569,Btg1,96079635,96085443,+,-5465,NM_007569,Btg1,96079635,96085443,+,Y,N,N,N,-440,CpG_End,CpG: 128,chr10,96079119,96080418,64.9,0.94,0,0,0,0,0,0,NA,0,1.18,2.64,1.18,0,0,1,1,0.04918957,1.308126974,0,1
SmaI_mm9_100233,chr10,96080396,761,0,NM_007569,Btg1,96079635,96085443,+,-5047,NM_007569,Btg1,96079635,96085443,+,Y,N,N,N,-22,CpG_End,CpG: 128,chr10,96079119,96080418,64.9,0.94,0,0,0,0,0,0,0,0,1.1,0,1.09,0.86,0,0.508333333,0.508333333,0.051565247,1.287642898,0,1
SmaI_mm9_100308,chr10,98214261,-163525,0,NM_026482,Atp2b1,98377786,98488775,+,-274514,NM_026482,Atp2b1,98377786,98488775,+,N,N,N,N,-162207,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,17.87,29.56,26.63,38.67,37.89,28.86,62.38,50.32,42.14,36.71,60.13,61.79,29.91333333,52.245,22.33166667,0.002228541,2.651979371,0,0
SmaI_mm9_100309,chr10,98214553,-163233,0,NM_026482,Atp2b1,98377786,98488775,+,-274222,NM_026482,Atp2b1,98377786,98488775,+,N,MLT1K,LTR,MaLR,-161915,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,10.34,11.88,14.41,20.8,19.28,11.69,46.89,33.73,26.55,25.29,43.09,49.36,14.73333333,37.485,22.75166667,0.000591292,3.228197997,0,0
SmaI_mm9_100317,chr10,98376718,-1068,0,NM_026482,Atp2b1,98377786,98488775,+,-112057,NM_026482,Atp2b1,98377786,98488775,+,Y,N,N,N,250,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0
SmaI_mm9_100318,chr10,98377131,-655,1,NM_026482,Atp2b1,98377786,98488775,+,-111644,NM_026482,Atp2b1,98377786,98488775,+,Y,N,N,N,663,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,0,0,0,0.27,0,0,1.44,0.48,0,0.74,1.25,1.51,0.045,0.903333333,0.858333333,0.006245146,2.204457404,0,0
SmaI_mm9_100332,chr10,98570008,203,1,NM_027740,Wdr51b,98569805,98660622,+,-5871,NM_015737,Galnt4,98570769,98575879,+,Y,N,N,N,-367,CpG_End,CpG: 106,chr10,98569416,98570375,67.9,0.96,0.08,0,0.1,0,0,0.07,0.09,0.23,0.2,0.49,0.41,0.34,0.041666667,0.293333333,0.251666666,0.002563821,2.5911123,0,1
SmaI_mm9_100333,chr10,98570345,-424,1,NM_015737,Galnt4,98570769,98575879,+,-5534,NM_015737,Galnt4,98570769,98575879,+,Y,N,N,N,-30,CpG_End,CpG: 106,chr10,98569416,98570375,67.9,0.96,0.25,0,0.1,0,0.09,0,1.09,0.72,0.67,0.81,0.95,1.09,0.073333333,0.888333333,0.815,2.28E-06,5.642305224,0,0
SmaI_mm9_100342,chr10,98667034,-58831,0,NM_026268,Dusp6,98725865,98730122,+,6412,NM_027740,Wdr51b,98569805,98660622,+,N,N,N,N,-57097,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,0.61,2,1.01,3.57,2.58,3.79,0.65,3.72,4.59,5.02,0.62,1.1,2.26,2.616666667,0.356666667,0.726807589,0.138580547,0,0
SmaI_mm9_100343,chr10,98667329,-58536,0,NM_026268,Dusp6,98725865,98730122,+,6707,NM_027740,Wdr51b,98569805,98660622,+,N,N,N,N,-56802,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,0.61,1.8,0.76,3.52,2.84,2.69,0.43,0.48,1.05,0.87,0.14,0.29,2.036666667,0.543333333,-1.493333334,0.014123301,1.850063785,0,0
SmaI_mm9_100350,chr10,98724739,-1126,0,NM_026268,Dusp6,98725865,98730122,+,-5383,NM_026268,Dusp6,98725865,98730122,+,Y,N,N,N,608,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0.118333333,0.118333333,0.340893132,0.467381748,0,0
SmaI_mm9_100351,chr10,98725135,-730,1,NM_026268,Dusp6,98725865,98730122,+,-4987,NM_026268,Dusp6,98725865,98730122,+,Y,N,N,N,1004,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,0,0,0,0,0,0,0.94,0.71,0.88,1.42,0.38,0.45,0,0.796666667,0.796666667,0.000430188,3.366341708,0,0
SmaI_mm9_10037,chr1,179187839,-8941,0,NM_011785,Akt3,179178898,178952246,-,-193058,NM_013915,Zfp238,179375952,179380897,+,Y,C-rich,Low_complexity,Low_complexity,408,CpG_Start,CpG: 146,chr1,179187431,179189252,52.9,1.17,0.57,0,1.26,1.56,0.65,0.28,0.33,0,0.39,0,0.4,0,0.72,0.186666667,-0.533333333,0.062844177,1.201734957,0,0
SmaI_mm9_10038,chr1,179188190,-9292,0,NM_011785,Akt3,179178898,178952246,-,-192707,NM_013915,Zfp238,179375952,179380897,+,Y,G-rich,Low_complexity,Low_complexity,759,CpG_Start,CpG: 146,chr1,179187431,179189252,52.9,1.17,0.47,0,0.37,0,0,0,0,0,0,0,0,0,0.14,0,-0.14,0.148744479,0.827559145,0,0
SmaI_mm9_10039,chr1,179189098,-10200,0,NM_011785,Akt3,179178898,178952246,-,-191799,NM_013915,Zfp238,179375952,179380897,+,Y,N,N,N,-154,CpG_End,CpG: 146,chr1,179187431,179189252,52.9,1.17,0,0,0,0.3,0,0.12,0,0,0,0,0,0,0.07,0,-0.07,0.191765352,0.717229858,0,0
SmaI_mm9_100402,chr10,99478332,-126,1,NM_013598,Kitl,99478458,99563045,+,-84713,NM_013598,Kitl,99478458,99563045,+,Y,N,N,N,241,CpG_Start,CpG: 97,chr10,99478091,99479274,65.6,0.77,0.31,0,0,0.66,0,0,1.02,0.25,1.79,0.34,1.21,2.57,0.161666667,1.196666667,1.035,0.020762462,1.682721149,0,0
SmaI_mm9_100403,chr10,99478687,229,1,NM_013598,Kitl,99478458,99563045,+,-84358,NM_013598,Kitl,99478458,99563045,+,Y,N,N,N,-587,CpG_End,CpG: 97,chr10,99478091,99479274,65.6,0.77,0,0,0,0,0,0,1.09,0.77,3.95,1.09,2.24,0.29,0,1.571666667,1.571666667,0.016017274,1.795411395,0,1
SmaI_mm9_100443,chr10,100051586,307,1,NM_175128,4930430F08Rik,100051893,100034908,-,15297,NM_146009,Cep290,99950923,100036289,+,Y,N,N,N,1,CpG_Start,CpG: 31,chr10,100051585,100051973,63.2,0.8,0,0,NA,0.71,NA,0,0.15,0.42,0,0.15,0.14,0.56,0.1775,0.236666667,0.059166667,0.745769848,0.127395179,0,1
SmaI_mm9_100444,chr10,100051790,103,1,NM_175128,4930430F08Rik,100051893,100034908,-,15501,NM_146009,Cep290,99950923,100036289,+,Y,N,N,N,-183,CpG_End,CpG: 31,chr10,100051585,100051973,63.2,0.8,0,0,NA,0,NA,0,0,0,0,0.16,0,0.3,0,0.076666667,0.076666667,0.2699302,0.568748524,0,1
SmaI_mm9_10056,chr1,179373051,-1741,0,NM_001012330,Zfp238,179374792,179380897,+,-7846,NM_013915,Zfp238,179375952,179380897,+,N,G-rich,Low_complexity,Low_complexity,144,CpG_End,CpG: 132,chr1,179371623,179372907,58.6,1.2,0,0,0,0,0,0.29,0,0.44,0,0,0,0,0.048333333,0.073333333,0.025,0.781723791,0.106946671,1,0
SmaI_mm9_10057,chr1,179373307,-1485,0,NM_001012330,Zfp238,179374792,179380897,+,-7590,NM_013915,Zfp238,179375952,179380897,+,N,N,N,N,400,CpG_End,CpG: 132,chr1,179371623,179372907,58.6,1.2,0,0,0,0,0,0,0,0.41,0.22,0.27,0,0.22,0,0.186666667,0.186666667,0.017262313,1.762901013,1,0
SmaI_mm9_100621,chr10,105010974,561,0,NM_177368,Tmtc2,105011535,104624720,-,189268,NM_207522,BC067068,105278436,105200242,-,Y,CT-rich,Low_complexity,Low_complexity,477,CpG_Start,CpG: 79,chr10,105010497,105011506,54.7,1.07,0,0,0,0,0,0,0.38,0.28,0,0.37,0,0.69,0,0.286666667,0.286666667,0.023013363,1.638019912,0,1
SmaI_mm9_100622,chr10,105011337,198,1,NM_177368,Tmtc2,105011535,104624720,-,188905,NM_207522,BC067068,105278436,105200242,-,Y,N,N,N,-169,CpG_End,CpG: 79,chr10,105010497,105011506,54.7,1.07,0,0,0,0.19,0,0,0,0.3,0,0.39,0.59,0.36,0.031666667,0.273333333,0.241666666,0.036672003,1.435665369,0,1
SmaI_mm9_100716,chr10,106921116,2074,0,NM_008656,Myf5,106923190,106919964,-,-1152,NM_008656,Myf5,106923190,106919964,-,N,N,N,N,211453,CpG_End,CpG: 55,chr10,106708927,106709663,67.4,0.66,58.41,40.77,55.57,48.77,61.78,41.62,61.71,64.11,51.54,60.03,65.68,74.8,51.15333333,62.97833333,11.825,0.032227398,1.491774757,0,1
SmaI_mm9_100717,chr10,106921345,1845,0,NM_008656,Myf5,106923190,106919964,-,-1381,NM_008656,Myf5,106923190,106919964,-,N,N,N,N,211682,CpG_End,CpG: 55,chr10,106708927,106709663,67.4,0.66,66.86,54.14,65.91,64.81,68.44,55.65,63.06,65.74,60.13,62.06,68.57,72.77,62.635,65.38833333,2.75333333,0.401947604,0.395830556,0,1
SmaI_mm9_10073,chr1,179688735,28790,0,NM_027077,1700016C15Rik,179659945,179683436,+,4574,NM_007422,Adss,179726640,179693309,-,N,RLTR10-int,LTR,ERVK,-37331,CpG_Start,CpG: 76,chr1,179726066,179726925,65.2,0.84,98.5,97.53,99.24,98.29,100,99.05,97.31,97.51,97.63,97,96.17,97.08,98.76833333,97.11666667,-1.65166666,0.002369793,2.625289588,0,0
SmaI_mm9_100785,chr10,107769471,226,1,NM_054056,Pawr,107769245,107851447,+,54840,NM_027892,Ppp1r12a,107599456,107714631,+,Y,N,N,N,271,CpG_Start,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,0,0,0,0,0,0.95,0.77,0,0,0,0.8,0,0.42,0.42,0.050980947,1.292592102,0,1
SmaI_mm9_100789,chr10,107769980,735,0,NM_054056,Pawr,107769245,107851447,+,55349,NM_027892,Ppp1r12a,107599456,107714631,+,Y,N,N,N,-384,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,0,0,0,0,0,0.73,0.16,0.38,0.48,0.16,0.32,0,0.371666667,0.371666667,0.001766017,2.75300512,0,1
SmaI_mm9_100790,chr10,107770222,977,0,NM_054056,Pawr,107769245,107851447,+,55591,NM_027892,Ppp1r12a,107599456,107714631,+,Y,N,N,N,-142,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,0,0,0,0,0.35,0.26,0,0.95,0,0.97,0.55,0.058333333,0.455,0.396666667,0.062390832,1.204879223,0,1
SmaI_mm9_100800,chr10,107883747,114502,0,NM_054056,Pawr,107769245,107851447,+,32300,NM_054056,Pawr,107769245,107851447,+,N,N,N,N,113383,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,0.95,0.64,1.82,NA,1.83,2.5,1.69,0.86,1.34,2.48,3.01,1.048,1.98,0.932,0.087696449,1.057017992,0,0
SmaI_mm9_100801,chr10,107883964,114719,0,NM_054056,Pawr,107769245,107851447,+,32517,NM_054056,Pawr,107769245,107851447,+,N,N,N,N,113600,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,1.97,1.43,3.3,5.03,NA,4.37,4.12,3.54,2.38,2.43,3.78,4.87,3.22,3.52,0.3,0.701555377,0.153938042,0,0
SmaI_mm9_100925,chr10,110360844,3612,0,NM_007792,Csrp2,110357232,110376570,+,-15726,NM_007792,Csrp2,110357232,110376570,+,N,N,N,N,3505,CpG_End,CpG: 58,chr10,110356809,110357339,67.2,0.97,34.7,40.06,42.08,47.84,35.03,38.03,69.3,58.56,49.67,47.37,72.27,71.28,39.62333333,61.40833333,21.785,0.001378368,2.860634818,0,1
SmaI_mm9_100926,chr10,110361125,3893,0,NM_007792,Csrp2,110357232,110376570,+,-15445,NM_007792,Csrp2,110357232,110376570,+,N,N,N,N,3786,CpG_End,CpG: 58,chr10,110356809,110357339,67.2,0.97,35.77,36.65,41.28,47.38,33.35,35.19,66.34,56.97,48.41,41.18,65.66,71.45,38.27,58.335,20.065,0.003264096,2.486237077,0,1
SmaI_mm9_100941,chr10,110446520,602,0,NM_172554,Zdhhc17,110447122,110378838,-,-67682,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,8,CpG_Start,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.041666667,0.041666667,0.340893132,0.467381748,0,1
SmaI_mm9_100942,chr10,110446878,244,1,NM_172554,Zdhhc17,110447122,110378838,-,-68040,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,366,CpG_Start,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0.043333333,0.043333333,0.340893132,0.467381748,0,1
SmaI_mm9_100944,chr10,110446967,155,1,NM_172554,Zdhhc17,110447122,110378838,-,-68129,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,455,CpG_Start,CpG: 104,chr10,110446512,110447494,62.9,1.07,0.22,0,0,0,0,0,0,0.18,0,0.22,0.09,0.1,0.036666667,0.098333333,0.061666666,0.263342216,0.579479514,0,1
SmaI_mm9_100945,chr10,110447219,-97,1,NM_172554,Zdhhc17,110447122,110378838,-,-68381,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,-275,CpG_End,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0,0,0,0,0,0.11,0,0,0.12,0.1,0,0,0.055,0.055,0.050364936,1.297871714,0,0
SmaI_mm9_100948,chr10,110447437,-315,1,NM_172554,Zdhhc17,110447122,110378838,-,-68599,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,-57,CpG_End,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0.16,0.41,0,0,0,0.66,0.29,0.51,0.32,0.14,0.17,0.095,0.348333333,0.253333333,0.039151729,1.407249054,0,0
SmaI_mm9_100949,chr10,110447756,-634,1,NM_172554,Zdhhc17,110447122,110378838,-,-68918,NM_172554,Zdhhc17,110447122,110378838,-,N,N,N,N,262,CpG_End,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0.16,0,0.23,0.65,0,0,0.88,0.87,1.32,1,0.7,0.173333333,0.795,0.621666667,0.013451416,1.871231996,1,0
SmaI_mm9_10103,chr1,180266564,1351,0,NM_016805,Hnrnpu,180267915,180258431,-,-8133,NM_016805,Hnrnpu,180267915,180258431,-,Y,N,N,N,13,CpG_Start,CpG: 200,chr1,180266551,180268143,70.8,1.03,0,0,0,0,0,0,0,1.79,0,0,0,0,0,0.298333333,0.298333333,0.340893132,0.467381748,0,1
SmaI_mm9_10104,chr1,180266958,957,0,NM_016805,Hnrnpu,180267915,180258431,-,-8527,NM_016805,Hnrnpu,180267915,180258431,-,Y,N,N,N,407,CpG_Start,CpG: 200,chr1,180266551,180268143,70.8,1.03,0.16,0,0,0.19,0.38,0,0.92,0.35,0,0,0,0,0.121666667,0.211666667,0.09,0.597532722,0.223638307,0,1
SmaI_mm9_10105,chr1,180267541,374,1,NM_016805,Hnrnpu,180267915,180258431,-,-9110,NM_016805,Hnrnpu,180267915,180258431,-,Y,N,N,N,-602,CpG_End,CpG: 200,chr1,180266551,180268143,70.8,1.03,0,0,0,0,0,0,0,0.31,0.76,0,0.31,0.53,0,0.318333333,0.318333333,0.025572587,1.592225335,0,1
SmaI_mm9_10106,chr1,180267777,138,1,NM_016805,Hnrnpu,180267915,180258431,-,-9346,NM_016805,Hnrnpu,180267915,180258431,-,Y,N,N,N,-366,CpG_End,CpG: 200,chr1,180266551,180268143,70.8,1.03,0,0,0,0,0,0,0.16,0.62,0.55,0.37,0.16,0.36,0,0.37,0.37,0.000798387,3.097786543,0,1
SmaI_mm9_101088,chr10,114238538,-112,1,NM_146241,Trhde,114238426,113835877,-,277161,NM_173391,Tph2,114622078,114515699,-,Y,N,N,N,-719,CpG_End,CpG: 150,chr10,114237496,114239257,64.3,0.82,3.08,3.64,3.35,5.93,2,1.71,13.67,16.83,18.45,15.88,18.68,19.75,3.285,17.21,13.925,1.67E-07,6.776506655,0,0
