ID,Chromosome,Position,Distance2TSS_GeneA,In.prom,RefSeq_GeneA,Name_GeneA,TSS_GeneA,TSE_GeneA,Strand_GeneA,Distance2TSE_GeneB,RefSeq_GeneB,Name_GeneB,TSS_GeneB,TSE_GeneB,Strand_GeneB,inCpG,RepeatName,RepeatClass,RepeatFamily,Distance2CpG,Which_CpG_Edge,CpG_Name,CpG_Chr,CpG_Start,CpG_End,CpG_perGc,CpG_obsExp,SPFC1M1,SPFC1M2,SPFC2M1,SPFC2M2,SPFC3M1,SPFC3M2,AvgWT,SpfKoAomAnC1M1,SpfKoAomAnC1M3,SpfKoAomAnC2M1,SpfKoAomAnC2M2,SpfKoAomAnC3M1,SpfKoAomAnC3M2,AvgKO,KO.WT,ttest2,pttest2,cgi.shore,in.gene
SmaI_mm9_100157,chr10,94978120,324,1,NM_080560,Ube2n,94977796,95008292,+,-30172,NM_080560,Ube2n,94977796,95008292,+,Y,N,N,N,-407,CpG_End,CpG: 141,chr10,94977297,94978527,67.7,1,0,0,0,0.57,0,0,0.095,0,0,0,0.03,0.31,0.06,0.066666667,-0.028333333,0.796892733,0.098600134,0,1
SmaI_mm9_100158,chr10,94978312,516,0,NM_080560,Ube2n,94977796,95008292,+,-29980,NM_080560,Ube2n,94977796,95008292,+,Y,N,N,N,-215,CpG_End,CpG: 141,chr10,94977297,94978527,67.7,1,0,0,0,0,0,0,0,0,0,0.09,0.1,0.26,0.06,0.085,0.085,0.054994554,1.259680318,0,1
SmaI_mm9_100189,chr10,95403303,6,1,NM_001001932,Eea1,95403297,95508152,+,-104849,NM_001001932,Eea1,95403297,95508152,+,Y,GC_rich,Low_complexity,Low_complexity,108,CpG_Start,CpG: 88,chr10,95403195,95403966,69.3,0.95,0,0,0,0.17,0,0.13,0.05,0,0,0,0,0,0,0,-0.05,0.149710229,0.824748525,0,1
SmaI_mm9_100190,chr10,95403675,378,1,NM_001001932,Eea1,95403297,95508152,+,-104477,NM_001001932,Eea1,95403297,95508152,+,Y,N,N,N,-291,CpG_End,CpG: 88,chr10,95403195,95403966,69.3,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SmaI_mm9_100222,chr10,95998212,-81423,0,NM_007569,Btg1,96079635,96085443,+,-87231,NM_007569,Btg1,96079635,96085443,+,N,N,N,N,-80907,CpG_Start,CpG: 128,chr10,96079119,96080418,64.9,0.94,85.36,86.36,86.81,88.64,92.1,87.64,87.81833333,84.47,76.97,85.97,83.18,82.58,78.9,82.01166667,-5.806666667,0.00660094,2.180394216,0,0
SmaI_mm9_100223,chr10,95998442,-81193,0,NM_007569,Btg1,96079635,96085443,+,-87001,NM_007569,Btg1,96079635,96085443,+,N,N,N,N,-80677,CpG_Start,CpG: 128,chr10,96079119,96080418,64.9,0.94,91.56,93.22,95.22,96.47,96.41,95.6,94.74666667,89.41,86.19,91.88,89.4,89.92,86.28,88.84666667,-5.9,0.000639038,3.194473154,0,0
SmaI_mm9_100229,chr10,96079582,-53,1,NM_007569,Btg1,96079635,96085443,+,-5861,NM_007569,Btg1,96079635,96085443,+,Y,N,N,N,463,CpG_Start,CpG: 128,chr10,96079119,96080418,64.9,0.94,0.24,0.07,0.07,0.26,0.44,0.08,0.193333333,0.28,0.45,0.65,0.21,0.43,0,0.336666667,0.143333333,0.221807874,0.654023041,0,0
SmaI_mm9_100230,chr10,96079893,258,1,NM_007569,Btg1,96079635,96085443,+,-5550,NM_007569,Btg1,96079635,96085443,+,Y,N,N,N,-525,CpG_End,CpG: 128,chr10,96079119,96080418,64.9,0.94,0,0.07,0,0,0,0,0.011666667,0.09,0,0,0,0.1,0.16,0.058333333,0.046666667,0.153356211,0.814298631,0,1
SmaI_mm9_100308,chr10,98214261,-163525,0,NM_026482,Atp2b1,98377786,98488775,+,-274514,NM_026482,Atp2b1,98377786,98488775,+,N,N,N,N,-162207,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,39.1,19.68,54.16,36.14,42.02,23.55,35.775,58.66,45.6,31.72,61.45,33.99,42.57,45.665,9.89,0.199554974,0.699937443,0,0
SmaI_mm9_100309,chr10,98214553,-163233,0,NM_026482,Atp2b1,98377786,98488775,+,-274222,NM_026482,Atp2b1,98377786,98488775,+,N,MLT1K,LTR,MaLR,-161915,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,27.95,11.84,36.63,18.87,28.36,12.2,22.64166667,51.45,40.1,20.93,54.41,23.85,31,36.95666667,14.315,0.069277241,1.159409416,0,0
SmaI_mm9_100317,chr10,98376718,-1068,0,NM_026482,Atp2b1,98377786,98488775,+,-112057,NM_026482,Atp2b1,98377786,98488775,+,Y,N,N,N,250,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SmaI_mm9_100318,chr10,98377131,-655,1,NM_026482,Atp2b1,98377786,98488775,+,-111644,NM_026482,Atp2b1,98377786,98488775,+,Y,N,N,N,663,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SmaI_mm9_100332,chr10,98570008,203,1,NM_027740,Wdr51b,98569805,98660622,+,-5871,NM_015737,Galnt4,98570769,98575879,+,Y,N,N,N,-367,CpG_End,CpG: 106,chr10,98569416,98570375,67.9,0.96,0.08,0.07,0.23,0,0.21,0.07,0.11,0,0.06,0,0.05,0.42,0,0.088333333,-0.021666667,0.783210191,0.10612167,0,1
SmaI_mm9_100333,chr10,98570345,-424,1,NM_015737,Galnt4,98570769,98575879,+,-5534,NM_015737,Galnt4,98570769,98575879,+,Y,N,N,N,-30,CpG_End,CpG: 106,chr10,98569416,98570375,67.9,0.96,0,0.07,0.08,0.09,0.11,0.07,0.07,0.1,0,0.06,0,0.25,0,0.068333333,-0.001666667,0.969739269,0.013345018,0,0
SmaI_mm9_100342,chr10,98667034,-58831,0,NM_026268,Dusp6,98725865,98730122,+,6412,NM_027740,Wdr51b,98569805,98660622,+,N,N,N,N,-57097,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,1.98,0.73,0.48,3.2,1.23,1.72,1.556666667,2.76,1.68,5.43,0.51,3.06,1.75,2.531666667,0.975,0.248718871,0.604291262,0,0
SmaI_mm9_100343,chr10,98667329,-58536,0,NM_026268,Dusp6,98725865,98730122,+,6707,NM_027740,Wdr51b,98569805,98660622,+,N,N,N,N,-56802,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,0.87,0.3,0.33,1.99,0.86,0.9,0.875,0,0,1.05,0.24,0.58,0,0.311666667,-0.563333333,0.094237029,1.025778413,0,0
SmaI_mm9_100350,chr10,98724739,-1126,0,NM_026268,Dusp6,98725865,98730122,+,-5383,NM_026268,Dusp6,98725865,98730122,+,Y,N,N,N,608,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,0,0,0.23,0,0,0.24,0.078333333,0.54,0,0,0,0,0,0.09,0.011666667,0.911840295,0.04008122,0,0
SmaI_mm9_100351,chr10,98725135,-730,1,NM_026268,Dusp6,98725865,98730122,+,-4987,NM_026268,Dusp6,98725865,98730122,+,Y,N,N,N,1004,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,0,0,0,0,0,0,0,0,0.35,0,0,0.45,0,0.133333333,0.133333333,0.149133846,0.826423781,0,0
SmaI_mm9_10037,chr1,179187839,-8941,0,NM_011785,Akt3,179178898,178952246,-,-193058,NM_013915,Zfp238,179375952,179380897,+,Y,C-rich,Low_complexity,Low_complexity,408,CpG_Start,CpG: 146,chr1,179187431,179189252,52.9,1.17,0.32,0.28,0.3,0.34,0,0,0.206666667,0,0,0,0,0.1,0,0.016666667,-0.19,0.018902145,1.723488919,0,0
SmaI_mm9_10038,chr1,179188190,-9292,0,NM_011785,Akt3,179178898,178952246,-,-192707,NM_013915,Zfp238,179375952,179380897,+,Y,G-rich,Low_complexity,Low_complexity,759,CpG_Start,CpG: 146,chr1,179187431,179189252,52.9,1.17,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0.053333333,0.053333333,0.340893132,0.467381748,0,0
SmaI_mm9_10039,chr1,179189098,-10200,0,NM_011785,Akt3,179178898,178952246,-,-191799,NM_013915,Zfp238,179375952,179380897,+,Y,N,N,N,-154,CpG_End,CpG: 146,chr1,179187431,179189252,52.9,1.17,0,0,0,0,0,0,0,0,0.12,0.09,0.1,0,0,0.051666667,0.051666667,0.052070648,1.283407015,0,0
SmaI_mm9_100402,chr10,99478332,-126,1,NM_013598,Kitl,99478458,99563045,+,-84713,NM_013598,Kitl,99478458,99563045,+,Y,N,N,N,241,CpG_Start,CpG: 97,chr10,99478091,99479274,65.6,0.77,0,0,0.24,0,0.4,0,0.106666667,0.4,1.31,0,0.73,0,0.55,0.498333333,0.391666667,0.096816952,1.014048593,0,0
SmaI_mm9_100403,chr10,99478687,229,1,NM_013598,Kitl,99478458,99563045,+,-84358,NM_013598,Kitl,99478458,99563045,+,Y,N,N,N,-587,CpG_End,CpG: 97,chr10,99478091,99479274,65.6,0.77,0,0.26,0.25,0,0.42,0,0.155,3.27,1.28,0.17,0.64,0.71,0.46,1.088333333,0.933333333,0.07353217,1.133522617,0,1
SmaI_mm9_100443,chr10,100051586,307,1,NM_175128,4930430F08Rik,100051893,100034908,-,15297,NM_146009,Cep290,99950923,100036289,+,Y,N,N,N,1,CpG_Start,CpG: 31,chr10,100051585,100051973,63.2,0.8,0,0,0,0,0,0,0,0,0.09,0,0.05,0.23,0,0.061666667,0.061666667,0.124959348,0.90323125,0,1
SmaI_mm9_100444,chr10,100051790,103,1,NM_175128,4930430F08Rik,100051893,100034908,-,15501,NM_146009,Cep290,99950923,100036289,+,Y,N,N,N,-183,CpG_End,CpG: 31,chr10,100051585,100051973,63.2,0.8,0,0,0,0,0,0,0,0.1,0,0,0.05,0.17,0.07,0.065,0.065,0.033693815,1.47244981,0,1
SmaI_mm9_10056,chr1,179373051,-1741,0,NM_001012330,Zfp238,179374792,179380897,+,-7846,NM_013915,Zfp238,179375952,179380897,+,N,G-rich,Low_complexity,Low_complexity,144,CpG_End,CpG: 132,chr1,179371623,179372907,58.6,1.2,0,0,0,0,0,0,0,0,0.08,0.19,0.07,0,0,0.056666667,0.056666667,0.093975536,1.026985189,1,0
SmaI_mm9_10057,chr1,179373307,-1485,0,NM_001012330,Zfp238,179374792,179380897,+,-7590,NM_013915,Zfp238,179375952,179380897,+,N,N,N,N,400,CpG_End,CpG: 132,chr1,179371623,179372907,58.6,1.2,0,0,0.25,0,0,0,0.041666667,0,0.08,0.05,0,0.17,0,0.05,0.008333333,0.870854701,0.060054299,1,0
SmaI_mm9_100621,chr10,105010974,561,0,NM_177368,Tmtc2,105011535,104624720,-,189268,NM_207522,BC067068,105278436,105200242,-,Y,CT-rich,Low_complexity,Low_complexity,477,CpG_Start,CpG: 79,chr10,105010497,105011506,54.7,1.07,0,0,0,0,0,0,0,0.29,0,0,0,0.33,0,0.103333333,0.103333333,0.146052003,0.835492483,0,1
SmaI_mm9_100622,chr10,105011337,198,1,NM_177368,Tmtc2,105011535,104624720,-,188905,NM_207522,BC067068,105278436,105200242,-,Y,N,N,N,-169,CpG_End,CpG: 79,chr10,105010497,105011506,54.7,1.07,0,0,0.17,0,0,0,0.028333333,0,0,0,0,0,0,0,-0.028333333,0.340893132,0.467381748,0,1
SmaI_mm9_100716,chr10,106921116,2074,0,NM_008656,Myf5,106923190,106919964,-,-1152,NM_008656,Myf5,106923190,106919964,-,N,N,N,N,211453,CpG_End,CpG: 55,chr10,106708927,106709663,67.4,0.66,47.98,44.45,63.18,52.97,49.63,42.36,50.095,62.6,60.78,50.05,69.79,62.62,56.9,60.45666667,10.36166667,0.028605731,1.543546952,0,1
SmaI_mm9_100717,chr10,106921345,1845,0,NM_008656,Myf5,106923190,106919964,-,-1381,NM_008656,Myf5,106923190,106919964,-,N,N,N,N,211682,CpG_End,CpG: 55,chr10,106708927,106709663,67.4,0.66,64.97,64.69,66.8,61.72,65.05,63.14,64.395,66.32,66.9,55.18,71.91,65.32,58.46,64.015,-0.38,0.886467021,0.052337417,0,1
SmaI_mm9_10073,chr1,179688735,28790,0,NM_027077,1700016C15Rik,179659945,179683436,+,4574,NM_007422,Adss,179726640,179693309,-,N,RLTR10-int,LTR,ERVK,-37331,CpG_Start,CpG: 76,chr1,179726066,179726925,65.2,0.84,98.39,99.15,97.2,97.57,99.34,96.9,98.09166667,97.72,97,97.46,95.7,96.33,97.46,96.945,-1.146666667,0.054449615,1.264005188,0,0
SmaI_mm9_100785,chr10,107769471,226,1,NM_054056,Pawr,107769245,107851447,+,54840,NM_027892,Ppp1r12a,107599456,107714631,+,Y,N,N,N,271,CpG_Start,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,1.04,0.59,0.58,0,0,0.368333333,0.36,0.49,0,0,0,0,0.141666667,-0.226666667,0.283772622,0.547029507,0,1
SmaI_mm9_100789,chr10,107769980,735,0,NM_054056,Pawr,107769245,107851447,+,55349,NM_027892,Ppp1r12a,107599456,107714631,+,Y,N,N,N,-384,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,0,0,0,0,0.56,0.093333333,0.21,0.27,0.06,0.26,0.41,0.08,0.215,0.121666667,0.284132895,0.546478484,0,1
SmaI_mm9_100790,chr10,107770222,977,0,NM_054056,Pawr,107769245,107851447,+,55591,NM_027892,Ppp1r12a,107599456,107714631,+,Y,N,N,N,-142,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,0,0,0,0,0,0,0.12,0.6,0.09,0.35,0.41,0,0.261666667,0.261666667,0.018843314,1.724842711,0,1
SmaI_mm9_100800,chr10,107883747,114502,0,NM_054056,Pawr,107769245,107851447,+,32300,NM_054056,Pawr,107769245,107851447,+,N,N,N,N,113383,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,1.71,0.4,1.73,1.37,2.16,1.5,1.478333333,1.79,1.75,0.65,2.86,1.19,0.86,1.516666667,0.038333333,0.926895465,0.032969243,0,0
SmaI_mm9_100801,chr10,107883964,114719,0,NM_054056,Pawr,107769245,107851447,+,32517,NM_054056,Pawr,107769245,107851447,+,N,N,N,N,113600,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,1.76,1.7,5.01,1.89,3.82,0.81,2.498333333,1.74,2.55,1.88,3.14,3.22,3.01,2.59,0.091666667,0.897933768,0.046755696,0,0
SmaI_mm9_100925,chr10,110360844,3612,0,NM_007792,Csrp2,110357232,110376570,+,-15726,NM_007792,Csrp2,110357232,110376570,+,N,N,N,N,3505,CpG_End,CpG: 58,chr10,110356809,110357339,67.2,0.97,63.53,36.18,55.14,42.33,59.24,43.46,49.98,54.23,67.01,38.22,67.37,52.5,48.26,54.59833333,4.618333333,0.485110215,0.31415958,0,1
SmaI_mm9_100926,chr10,110361125,3893,0,NM_007792,Csrp2,110357232,110376570,+,-15445,NM_007792,Csrp2,110357232,110376570,+,N,N,N,N,3786,CpG_End,CpG: 58,chr10,110356809,110357339,67.2,0.97,61.64,37.09,52.22,41.22,56.49,42,48.44333333,57.07,67.51,39.01,69.32,56.62,56.14,57.61166667,9.168333333,0.154053017,0.812329793,0,1
SmaI_mm9_100941,chr10,110446520,602,0,NM_172554,Zdhhc17,110447122,110378838,-,-67682,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,8,CpG_Start,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SmaI_mm9_100942,chr10,110446878,244,1,NM_172554,Zdhhc17,110447122,110378838,-,-68040,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,366,CpG_Start,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0.18,0.2,0,0,0,0.063333333,0,0,0,0,0,0,0,-0.063333333,0.14567622,0.836611337,0,1
SmaI_mm9_100944,chr10,110446967,155,1,NM_172554,Zdhhc17,110447122,110378838,-,-68129,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,455,CpG_Start,CpG: 104,chr10,110446512,110447494,62.9,1.07,0.18,0,0,0,0,0.19,0.061666667,0.07,0,0,0,0.17,0.09,0.055,-0.006666667,0.89253674,0.049373898,0,1
SmaI_mm9_100945,chr10,110447219,-97,1,NM_172554,Zdhhc17,110447122,110378838,-,-68381,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,-275,CpG_End,CpG: 104,chr10,110446512,110447494,62.9,1.07,0.2,0,0,0,0,0,0.033333333,0,0,0,0.05,0.23,0,0.046666667,0.013333333,0.796025345,0.099073105,0,0
SmaI_mm9_100948,chr10,110447437,-315,1,NM_172554,Zdhhc17,110447122,110378838,-,-68599,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,-57,CpG_End,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0.021666667,0.021666667,0.340893132,0.467381748,0,0
SmaI_mm9_100949,chr10,110447756,-634,1,NM_172554,Zdhhc17,110447122,110378838,-,-68918,NM_172554,Zdhhc17,110447122,110378838,-,N,N,N,N,262,CpG_End,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0,0,0,0.25,0.14,0.065,0,0.14,0.21,0,0,0,0.058333333,-0.006666667,0.910373221,0.040780525,1,0
SmaI_mm9_10103,chr1,180266564,1351,0,NM_016805,Hnrnpu,180267915,180258431,-,-8133,NM_016805,Hnrnpu,180267915,180258431,-,Y,N,N,N,13,CpG_Start,CpG: 200,chr1,180266551,180268143,70.8,1.03,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,1
SmaI_mm9_10104,chr1,180266958,957,0,NM_016805,Hnrnpu,180267915,180258431,-,-8527,NM_016805,Hnrnpu,180267915,180258431,-,Y,N,N,N,407,CpG_Start,CpG: 200,chr1,180266551,180268143,70.8,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SmaI_mm9_10105,chr1,180267541,374,1,NM_016805,Hnrnpu,180267915,180258431,-,-9110,NM_016805,Hnrnpu,180267915,180258431,-,Y,N,N,N,-602,CpG_End,CpG: 200,chr1,180266551,180268143,70.8,1.03,0.25,0,0,0,0,0,0.041666667,0,0,0.05,0,0.15,0,0.033333333,-0.008333333,0.866864531,0.062048767,0,1
SmaI_mm9_10106,chr1,180267777,138,1,NM_016805,Hnrnpu,180267915,180258431,-,-9346,NM_016805,Hnrnpu,180267915,180258431,-,Y,N,N,N,-366,CpG_End,CpG: 200,chr1,180266551,180268143,70.8,1.03,0,0,0,0,0,0,0,0.13,0.16,0,0,0.15,0,0.073333333,0.073333333,0.050688416,1.295091279,0,1
SmaI_mm9_101088,chr10,114238538,-112,1,NM_146241,Trhde,114238426,113835877,-,277161,NM_173391,Tph2,114622078,114515699,-,Y,N,N,N,-719,CpG_End,CpG: 150,chr10,114237496,114239257,64.3,0.82,4.67,4.4,5.96,10.78,7.44,5.48,6.455,16.49,15.66,9.54,18,11.95,23.23,15.81166667,9.356666667,0.001590808,2.798382187,0,0
SmaI_mm9_101089,chr10,114238797,-371,1,NM_146241,Trhde,114238426,113835877,-,276902,NM_173391,Tph2,114622078,114515699,-,Y,N,N,N,-460,CpG_End,CpG: 150,chr10,114237496,114239257,64.3,0.82,4.28,1.04,4.6,5.18,2.82,4.3,3.703333333,9.95,10.15,5.11,8.59,6.88,10.23,8.485,4.781666667,0.001098465,2.959213759,0,0
SmaI_mm9_10110,chr1,180335753,-259,1,NM_026626,Efcab2,180336012,180413380,+,-77322,NM_016805,Hnrnpu,180267915,180258431,-,N,N,N,N,-38,CpG_Start,CpG: 88,chr1,180335791,180336802,65.1,0.82,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,1,0
SmaI_mm9_101107,chr10,114752483,164,1,NM_024454,Rab21,114752647,114726918,-,25313,NM_133683,Tmem19,114799318,114777796,-,Y,GC_rich,Low_complexity,Low_complexity,272,CpG_Start,CpG: 52,chr10,114752211,114752763,57.5,1.15,0,0,0.18,0,0.28,0,0.076666667,0.24,0.15,0.09,0.1,0.15,0.05,0.13,0.053333333,0.371164667,0.430433373,0,1
SmaI_mm9_101108,chr10,114752752,-105,1,NM_024454,Rab21,114752647,114726918,-,25044,NM_133683,Tmem19,114799318,114777796,-,Y,N,N,N,-11,CpG_End,CpG: 52,chr10,114752211,114752763,57.5,1.15,0,0,0,0,0,0.18,0.03,0,0.08,0,0,0,0,0.013333333,-0.016666667,0.622691357,0.205727162,0,0
