ID,Chromosome,Position,Distance2TSS_GeneA,In.prom,RefSeq_GeneA,Name_GeneA,TSS_GeneA,TSE_GeneA,Strand_GeneA,Distance2TSE_GeneB,RefSeq_GeneB,Name_GeneB,TSS_GeneB,TSE_GeneB,Strand_GeneB,inCpG,RepeatName,RepeatClass,RepeatFamily,Distance2CpG,Which_CpG_Edge,CpG_Name,CpG_Chr,CpG_Start,CpG_End,CpG_perGc,CpG_obsExp,GF3_1,GF4_1,GF5_1,GF6_1,GF7_1,GF8_1,AvgWT,GfKoC1M1,GfKoC1M2,GfKoC1M3,GfKoC4F1,GfKoC4F2,GfKoC4F3,AvgKO,KO.WT,ttest2,pttest2,cgi.shore,in.gene
SmaI_mm9_100223,chr10,95998442,-81193,0,NM_007569,Btg1,96079635,96085443,+,-87001,NM_007569,Btg1,96079635,96085443,+,N,N,N,N,-80677,CpG_Start,CpG: 128,chr10,96079119,96080418,64.9,0.94,98.84,97.74,97.44,96.61,97.3,93.19,96.85333333,92.26,95.53,89.51,93.77,95.09,96.2,93.72666667,-3.126666667,0.035821211,1.445859742,0,0
SmaI_mm9_100229,chr10,96079582,-53,1,NM_007569,Btg1,96079635,96085443,+,-5861,NM_007569,Btg1,96079635,96085443,+,Y,N,N,N,463,CpG_Start,CpG: 128,chr10,96079119,96080418,64.9,0.94,0.18,0.08,0.11,0.38,0.65,0.16,0.26,1.19,0.54,1.62,0.63,0.74,0.55,0.878333333,0.618333333,0.01111481,1.954097967,0,0
SmaI_mm9_100230,chr10,96079893,258,1,NM_007569,Btg1,96079635,96085443,+,-5550,NM_007569,Btg1,96079635,96085443,+,Y,N,N,N,-525,CpG_End,CpG: 128,chr10,96079119,96080418,64.9,0.94,0,0.08,0,0.1,0,0,0.03,1.16,0.62,0.55,0.59,0.83,0.47,0.703333333,0.673333333,7.96E-05,4.099310726,0,1
SmaI_mm9_100232,chr10,96079978,343,1,NM_007569,Btg1,96079635,96085443,+,-5465,NM_007569,Btg1,96079635,96085443,+,Y,N,N,N,-440,CpG_End,CpG: 128,chr10,96079119,96080418,64.9,0.94,0,0,0,0,0,0,0,3.2,0.92,1.43,1.42,3,0.87,1.806666667,1.806666667,0.001585914,2.799720338,0,1
SmaI_mm9_100233,chr10,96080396,761,0,NM_007569,Btg1,96079635,96085443,+,-5047,NM_007569,Btg1,96079635,96085443,+,Y,N,N,N,-22,CpG_End,CpG: 128,chr10,96079119,96080418,64.9,0.94,0,0,0,0,0,0,0,0,1.2,0,1.02,0,1.64,0.643333333,0.643333333,0.057090235,1.243438167,0,1
SmaI_mm9_100308,chr10,98214261,-163525,0,NM_026482,Atp2b1,98377786,98488775,+,-274514,NM_026482,Atp2b1,98377786,98488775,+,N,N,N,N,-162207,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,17.87,29.56,26.63,38.67,37.89,28.86,29.91333333,14.78,19.68,13.41,28.31,25.42,22.18,20.63,-9.283333333,0.040777473,1.389579691,0,0
SmaI_mm9_100309,chr10,98214553,-163233,0,NM_026482,Atp2b1,98377786,98488775,+,-274222,NM_026482,Atp2b1,98377786,98488775,+,N,MLT1K,LTR,MaLR,-161915,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,10.34,11.88,14.41,20.8,19.28,11.69,14.73333333,12.27,13.47,11.66,13.55,15.61,14.74,13.55,-1.183333333,0.5415469,0.266363926,0,0
SmaI_mm9_100317,chr10,98376718,-1068,0,NM_026482,Atp2b1,98377786,98488775,+,-112057,NM_026482,Atp2b1,98377786,98488775,+,Y,N,N,N,250,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0.063333333,0.063333333,0.340893132,0.467381748,0,0
SmaI_mm9_100318,chr10,98377131,-655,1,NM_026482,Atp2b1,98377786,98488775,+,-111644,NM_026482,Atp2b1,98377786,98488775,+,Y,N,N,N,663,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,0,0,0,0.27,0,0,0.045,1.72,0.55,2.08,0.4,0.6,0.75,1.016666667,0.971666667,0.007406714,2.130374408,0,0
SmaI_mm9_100332,chr10,98570008,203,1,NM_027740,Wdr51b,98569805,98660622,+,-5871,NM_015737,Galnt4,98570769,98575879,+,Y,N,N,N,-367,CpG_End,CpG: 106,chr10,98569416,98570375,67.9,0.96,0.08,0,0.1,0,0,0.07,0.041666667,0.87,0.39,0.39,0.74,0.76,0.52,0.611666667,0.57,5.97E-05,4.224234889,0,1
SmaI_mm9_100333,chr10,98570345,-424,1,NM_015737,Galnt4,98570769,98575879,+,-5534,NM_015737,Galnt4,98570769,98575879,+,Y,N,N,N,-30,CpG_End,CpG: 106,chr10,98569416,98570375,67.9,0.96,0.25,0,0.1,0,0.09,0,0.073333333,0.97,0.5,0.27,0.63,0.78,0.65,0.633333333,0.56,0.000341065,3.467162656,0,0
SmaI_mm9_100342,chr10,98667034,-58831,0,NM_026268,Dusp6,98725865,98730122,+,6412,NM_027740,Wdr51b,98569805,98660622,+,N,N,N,N,-57097,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,0.61,2,1.01,3.57,2.58,3.79,2.26,4.35,0.75,1.44,4.83,1.85,2.07,2.548333333,0.288333333,0.744097777,0.128369993,0,0
SmaI_mm9_100343,chr10,98667329,-58536,0,NM_026268,Dusp6,98725865,98730122,+,6707,NM_027740,Wdr51b,98569805,98660622,+,N,N,N,N,-56802,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,0.61,1.8,0.76,3.52,2.84,2.69,2.036666667,1.99,0.57,0.84,2.86,1.71,0.83,1.466666667,-0.57,0.365996974,0.436522505,0,0
SmaI_mm9_100350,chr10,98724739,-1126,0,NM_026268,Dusp6,98725865,98730122,+,-5383,NM_026268,Dusp6,98725865,98730122,+,Y,N,N,N,608,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,0,0,0,0,0,0,0,0,0,0,0.13,0,0.09,0.036666667,0.036666667,0.153779199,0.813102407,0,0
SmaI_mm9_100351,chr10,98725135,-730,1,NM_026268,Dusp6,98725865,98730122,+,-4987,NM_026268,Dusp6,98725865,98730122,+,Y,N,N,N,1004,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,0,0,0,0,0,0,0,2.68,0.81,1.87,0.86,0.43,0.44,1.181666667,1.181666667,0.009395274,2.027090544,0,0
SmaI_mm9_10037,chr1,179187839,-8941,0,NM_011785,Akt3,179178898,178952246,-,-193058,NM_013915,Zfp238,179375952,179380897,+,Y,C-rich,Low_complexity,Low_complexity,408,CpG_Start,CpG: 146,chr1,179187431,179189252,52.9,1.17,0.57,0,1.26,1.56,0.65,0.28,0.72,0.4,0.66,0.98,1.09,1.09,0.43,0.775,0.055,0.844854437,0.073218111,0,0
SmaI_mm9_10038,chr1,179188190,-9292,0,NM_011785,Akt3,179178898,178952246,-,-192707,NM_013915,Zfp238,179375952,179380897,+,Y,G-rich,Low_complexity,Low_complexity,759,CpG_Start,CpG: 146,chr1,179187431,179189252,52.9,1.17,0.47,0,0.37,0,0,0,0.14,0,0.34,0,0,0,0,0.056666667,-0.083333333,0.449642138,0.347132996,0,0
SmaI_mm9_10039,chr1,179189098,-10200,0,NM_011785,Akt3,179178898,178952246,-,-191799,NM_013915,Zfp238,179375952,179380897,+,Y,N,N,N,-154,CpG_End,CpG: 146,chr1,179187431,179189252,52.9,1.17,0,0,0,0.3,0,0.12,0.07,0,0.07,0,0.19,0.38,0,0.106666667,0.036666667,0.656622243,0.18268441,0,0
SmaI_mm9_100402,chr10,99478332,-126,1,NM_013598,Kitl,99478458,99563045,+,-84713,NM_013598,Kitl,99478458,99563045,+,Y,N,N,N,241,CpG_Start,CpG: 97,chr10,99478091,99479274,65.6,0.77,0.31,0,0,0.66,0,0,0.161666667,1.94,0.36,1.02,0.9,0.68,1.03,0.988333333,0.826666667,0.006853061,2.164115429,0,0
SmaI_mm9_100403,chr10,99478687,229,1,NM_013598,Kitl,99478458,99563045,+,-84358,NM_013598,Kitl,99478458,99563045,+,Y,N,N,N,-587,CpG_End,CpG: 97,chr10,99478091,99479274,65.6,0.77,0,0,0,0,0,0,0,0,0.88,0.79,0.48,0.35,0.38,0.48,0.48,0.004322676,2.36424729,0,1
SmaI_mm9_100443,chr10,100051586,307,1,NM_175128,4930430F08Rik,100051893,100034908,-,15297,NM_146009,Cep290,99950923,100036289,+,Y,N,N,N,1,CpG_Start,CpG: 31,chr10,100051585,100051973,63.2,0.8,0,0,NA,0.71,NA,0,0.1775,0.45,0.13,0.17,0.3,0.18,0.18,0.235,0.0575,0.716934006,0.144520819,0,1
SmaI_mm9_100444,chr10,100051790,103,1,NM_175128,4930430F08Rik,100051893,100034908,-,15501,NM_146009,Cep290,99950923,100036289,+,Y,N,N,N,-183,CpG_End,CpG: 31,chr10,100051585,100051973,63.2,0.8,0,0,NA,0,NA,0,0,0,0,0.36,0.16,0.2,0.2,0.153333333,0.153333333,0.059934482,1.222323243,0,1
SmaI_mm9_10056,chr1,179373051,-1741,0,NM_001012330,Zfp238,179374792,179380897,+,-7846,NM_013915,Zfp238,179375952,179380897,+,N,G-rich,Low_complexity,Low_complexity,144,CpG_End,CpG: 132,chr1,179371623,179372907,58.6,1.2,0,0,0,0,0,0.29,0.048333333,0,0.14,0.48,0.48,0,0,0.183333333,0.135,0.239069651,0.621475552,1,0
SmaI_mm9_10057,chr1,179373307,-1485,0,NM_001012330,Zfp238,179374792,179380897,+,-7590,NM_013915,Zfp238,179375952,179380897,+,N,N,N,N,400,CpG_End,CpG: 132,chr1,179371623,179372907,58.6,1.2,0,0,0,0,0,0,0,0,0,0.22,0.15,0,0.17,0.09,0.09,0.05437832,1.264574217,1,0
SmaI_mm9_100621,chr10,105010974,561,0,NM_177368,Tmtc2,105011535,104624720,-,189268,NM_207522,BC067068,105278436,105200242,-,Y,CT-rich,Low_complexity,Low_complexity,477,CpG_Start,CpG: 79,chr10,105010497,105011506,54.7,1.07,0,0,0,0,0,0,0,0.31,0.13,0,0,0,0,0.073333333,0.073333333,0.187836672,0.726219615,0,1
SmaI_mm9_100622,chr10,105011337,198,1,NM_177368,Tmtc2,105011535,104624720,-,188905,NM_207522,BC067068,105278436,105200242,-,Y,N,N,N,-169,CpG_End,CpG: 79,chr10,105010497,105011506,54.7,1.07,0,0,0,0.19,0,0,0.031666667,0,0,0,0,0.35,0.09,0.073333333,0.041666667,0.538525883,0.268793418,0,1
SmaI_mm9_100716,chr10,106921116,2074,0,NM_008656,Myf5,106923190,106919964,-,-1152,NM_008656,Myf5,106923190,106919964,-,N,N,N,N,211453,CpG_End,CpG: 55,chr10,106708927,106709663,67.4,0.66,58.41,40.77,55.57,48.77,61.78,41.62,51.15333333,69.98,60.01,66.7,44.19,52.23,57.7,58.46833333,7.315,0.195837851,0.708103365,0,1
SmaI_mm9_100717,chr10,106921345,1845,0,NM_008656,Myf5,106923190,106919964,-,-1381,NM_008656,Myf5,106923190,106919964,-,N,N,N,N,211682,CpG_End,CpG: 55,chr10,106708927,106709663,67.4,0.66,66.86,54.14,65.91,64.81,68.44,55.65,62.635,70.17,61.83,66.89,50.9,56.75,60.58,61.18666667,-1.448333333,0.709242227,0.149205415,0,1
SmaI_mm9_10073,chr1,179688735,28790,0,NM_027077,1700016C15Rik,179659945,179683436,+,4574,NM_007422,Adss,179726640,179693309,-,N,RLTR10-int,LTR,ERVK,-37331,CpG_Start,CpG: 76,chr1,179726066,179726925,65.2,0.84,98.5,97.53,99.24,98.29,100,99.05,98.76833333,99.66,97.7,99.1,98.4,98,98.74,98.6,-0.168333333,0.720099027,0.142607776,0,0
SmaI_mm9_100785,chr10,107769471,226,1,NM_054056,Pawr,107769245,107851447,+,54840,NM_027892,Ppp1r12a,107599456,107714631,+,Y,N,N,N,271,CpG_Start,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,0,0,0,0,0,0,0.81,0.39,1.63,0,0,0.49,0.553333333,0.553333333,0.050918608,1.293123474,0,1
SmaI_mm9_100789,chr10,107769980,735,0,NM_054056,Pawr,107769245,107851447,+,55349,NM_027892,Ppp1r12a,107599456,107714631,+,Y,N,N,N,-384,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,0,0,0,0,0,0,0,0,0,0.15,0,0.17,0.053333333,0.053333333,0.145982907,0.835697991,0,1
SmaI_mm9_100790,chr10,107770222,977,0,NM_054056,Pawr,107769245,107851447,+,55591,NM_027892,Ppp1r12a,107599456,107714631,+,Y,N,N,N,-142,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,0,0,0,0,0.35,0.058333333,0,0,0,0,0,0.24,0.04,-0.018333333,0.800738223,0.09650944,0,1
SmaI_mm9_100800,chr10,107883747,114502,0,NM_054056,Pawr,107769245,107851447,+,32300,NM_054056,Pawr,107769245,107851447,+,N,N,N,N,113383,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,0.95,0.64,1.82,NA,1.83,1.048,2.2,1.35,1.49,1.3,1.22,1.37,1.488333333,0.440333333,0.248704858,0.604315732,0,0
SmaI_mm9_100801,chr10,107883964,114719,0,NM_054056,Pawr,107769245,107851447,+,32517,NM_054056,Pawr,107769245,107851447,+,N,N,N,N,113600,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,1.97,1.43,3.3,5.03,NA,4.37,3.22,1.67,2.76,0.47,2.34,2.95,2.48,2.111666667,-1.108333333,0.170289746,0.768811501,0,0
SmaI_mm9_100925,chr10,110360844,3612,0,NM_007792,Csrp2,110357232,110376570,+,-15726,NM_007792,Csrp2,110357232,110376570,+,N,N,N,N,3505,CpG_End,CpG: 58,chr10,110356809,110357339,67.2,0.97,34.7,40.06,42.08,47.84,35.03,38.03,39.62333333,42.82,37.05,32.57,34.64,37.86,31.82,36.12666667,-3.496666667,0.209283432,0.679265152,0,1
SmaI_mm9_100926,chr10,110361125,3893,0,NM_007792,Csrp2,110357232,110376570,+,-15445,NM_007792,Csrp2,110357232,110376570,+,N,N,N,N,3786,CpG_End,CpG: 58,chr10,110356809,110357339,67.2,0.97,35.77,36.65,41.28,47.38,33.35,35.19,38.27,44.54,34.35,28.47,31.39,33.94,29.01,33.61666667,-4.653333333,0.176586574,0.75304232,0,1
SmaI_mm9_100941,chr10,110446520,602,0,NM_172554,Zdhhc17,110447122,110378838,-,-67682,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,8,CpG_Start,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0,0,0,0,0,0,0.28,0,0,0.11,0,0,0.065,0.065,0.193277982,0.713817617,0,1
SmaI_mm9_100942,chr10,110446878,244,1,NM_172554,Zdhhc17,110447122,110378838,-,-68040,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,366,CpG_Start,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SmaI_mm9_100944,chr10,110446967,155,1,NM_172554,Zdhhc17,110447122,110378838,-,-68129,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,455,CpG_Start,CpG: 104,chr10,110446512,110447494,62.9,1.07,0.22,0,0,0,0,0,0.036666667,0.14,0.12,0.21,0.07,0.34,0.36,0.206666667,0.17,0.019485005,1.710299476,0,1
SmaI_mm9_100945,chr10,110447219,-97,1,NM_172554,Zdhhc17,110447122,110378838,-,-68381,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,-275,CpG_End,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0,0,0,0,0,0,0,0,0,0.07,0.12,0,0.031666667,0.031666667,0.163260903,0.787117805,0,0
SmaI_mm9_100948,chr10,110447437,-315,1,NM_172554,Zdhhc17,110447122,110378838,-,-68599,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,-57,CpG_End,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0.16,0.41,0,0,0,0.095,0.37,0.22,0,0.18,0.17,0.24,0.196666667,0.101666667,0.2539914,0.595180988,0,0
SmaI_mm9_100949,chr10,110447756,-634,1,NM_172554,Zdhhc17,110447122,110378838,-,-68918,NM_172554,Zdhhc17,110447122,110378838,-,N,N,N,N,262,CpG_End,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0.16,0,0.23,0.65,0,0.173333333,1.31,0.65,1.21,0.43,1.89,1.1,1.098333333,0.925,0.00276891,2.557691144,1,0
SmaI_mm9_10103,chr1,180266564,1351,0,NM_016805,Hnrnpu,180267915,180258431,-,-8133,NM_016805,Hnrnpu,180267915,180258431,-,Y,N,N,N,13,CpG_Start,CpG: 200,chr1,180266551,180268143,70.8,1.03,0,0,0,0,0,0,0,0.38,0.45,0,0.7,0.41,0.58,0.42,0.42,0.001502917,2.823064969,0,1
SmaI_mm9_10104,chr1,180266958,957,0,NM_016805,Hnrnpu,180267915,180258431,-,-8527,NM_016805,Hnrnpu,180267915,180258431,-,Y,N,N,N,407,CpG_Start,CpG: 200,chr1,180266551,180268143,70.8,1.03,0.16,0,0,0.19,0.38,0,0.121666667,0.35,0.13,0.37,0.13,0.39,0.18,0.258333333,0.136666667,0.120543057,0.918857798,0,1
SmaI_mm9_10105,chr1,180267541,374,1,NM_016805,Hnrnpu,180267915,180258431,-,-9110,NM_016805,Hnrnpu,180267915,180258431,-,Y,N,N,N,-602,CpG_End,CpG: 200,chr1,180266551,180268143,70.8,1.03,0,0,0,0,0,0,0,0,0,0,0.26,0.78,0.29,0.221666667,0.221666667,0.105439468,0.976996793,0,1
SmaI_mm9_10106,chr1,180267777,138,1,NM_016805,Hnrnpu,180267915,180258431,-,-9346,NM_016805,Hnrnpu,180267915,180258431,-,Y,N,N,N,-366,CpG_End,CpG: 200,chr1,180266551,180268143,70.8,1.03,0,0,0,0,0,0,0,0.47,0.12,0.39,0.29,0.58,0.17,0.336666667,0.336666667,0.000897327,3.047049098,0,1
SmaI_mm9_101088,chr10,114238538,-112,1,NM_146241,Trhde,114238426,113835877,-,277161,NM_173391,Tph2,114622078,114515699,-,Y,N,N,N,-719,CpG_End,CpG: 150,chr10,114237496,114239257,64.3,0.82,3.08,3.64,3.35,5.93,2,1.71,3.285,3.77,8.93,5.27,6.53,7.23,6.38,6.351666667,3.066666667,0.00860963,2.06501549,0,0
