ID,Chromosome,Position,Distance2TSS_GeneA,In.prom,RefSeq_GeneA,Name_GeneA,TSS_GeneA,TSE_GeneA,Strand_GeneA,Distance2TSE_GeneB,RefSeq_GeneB,Name_GeneB,TSS_GeneB,TSE_GeneB,Strand_GeneB,inCpG,RepeatName,RepeatClass,RepeatFamily,Distance2CpG,Which_CpG_Edge,CpG_Name,CpG_Chr,CpG_Start,CpG_End,CpG_perGc,CpG_obsExp,GF3_1,GF4_1,GF5_1,GF6_1,GF7_1,GF8_1,SPFC1M1,SPFC1M2,SPFC2M1,SPFC2M2,SPFC3M1,SPFC3M2,AvgGF,AvgSPF,SPF.GF,ttest2,pttest2,cgi.shore,in.gene
SmaI_mm9_100144,chr10,94850537,27380,0,NM_001168657,Socs2,94877917,94874124,-,23587,NM_007706,Socs2,94879491,94874124,-,N,N,N,N,-26484,CpG_Start,CpG: 210,chr10,94877021,94879729,62.7,0.79,82.49,83.94,84.95,77.18,80.65,73.68,NA,85.6,57.16,75.12,78.89,76.95,80.48166667,74.744,-5.737666667,0.253263211,0.596427891,0,0
SmaI_mm9_100147,chr10,94878734,112,1,NM_001168655,Socs2,94878846,94874124,-,-4610,NM_007706,Socs2,94879491,94874124,-,Y,N,N,N,-995,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0.3,0,0.36,0.71,0,0,0.26,0,0,0,0,0.228333333,0.043333333,-0.185,0.169039909,0.77201075,0,1
SmaI_mm9_100148,chr10,94879080,-234,1,NM_001168655,Socs2,94878846,94874124,-,-4956,NM_007706,Socs2,94879491,94874124,-,Y,N,N,N,-649,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0,0,0,0,0.3,0,0.26,0.31,0.35,0,0,0.05,0.153333333,0.103333333,0.255462527,0.592672796,0,0
SmaI_mm9_100152,chr10,94880039,-548,1,NM_007706,Socs2,94879491,94874124,-,-5915,NM_007706,Socs2,94879491,94874124,-,N,N,N,N,310,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
SmaI_mm9_100153,chr10,94880288,-797,1,NM_007706,Socs2,94879491,94874124,-,-6164,NM_007706,Socs2,94879491,94874124,-,N,N,N,N,559,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0,0.53,1.22,0,0,0,0,0.69,0.49,0,0.74,0.291666667,0.32,0.028333333,0.912776418,0.039635589,1,0
SmaI_mm9_100155,chr10,94977770,-26,1,NM_080560,Ube2n,94977796,95008292,+,-30522,NM_080560,Ube2n,94977796,95008292,+,Y,N,N,N,473,CpG_Start,CpG: 141,chr10,94977297,94978527,67.7,1,0.15,0,0,0.16,0.17,0.13,0.14,0,0,0.15,0,0,0.101666667,0.048333333,-0.053333333,0.260443168,0.584287031,0,0
SmaI_mm9_100156,chr10,94978079,283,1,NM_080560,Ube2n,94977796,95008292,+,-30213,NM_080560,Ube2n,94977796,95008292,+,Y,GC_rich,Low_complexity,Low_complexity,-448,CpG_End,CpG: 141,chr10,94977297,94978527,67.7,1,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0.021666667,0.021666667,0.340893132,0.467381748,0,1
SmaI_mm9_100157,chr10,94978120,324,1,NM_080560,Ube2n,94977796,95008292,+,-30172,NM_080560,Ube2n,94977796,95008292,+,Y,N,N,N,-407,CpG_End,CpG: 141,chr10,94977297,94978527,67.7,1,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0.095,0.095,0.340893132,0.467381748,0,1
SmaI_mm9_100158,chr10,94978312,516,0,NM_080560,Ube2n,94977796,95008292,+,-29980,NM_080560,Ube2n,94977796,95008292,+,Y,N,N,N,-215,CpG_End,CpG: 141,chr10,94977297,94978527,67.7,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SmaI_mm9_100189,chr10,95403303,6,1,NM_001001932,Eea1,95403297,95508152,+,-104849,NM_001001932,Eea1,95403297,95508152,+,Y,GC_rich,Low_complexity,Low_complexity,108,CpG_Start,CpG: 88,chr10,95403195,95403966,69.3,0.95,0,0,0,0,0.34,0.33,0,0,0,0.17,0,0.13,0.111666667,0.05,-0.061666667,0.445046536,0.351594575,0,1
SmaI_mm9_100190,chr10,95403675,378,1,NM_001001932,Eea1,95403297,95508152,+,-104477,NM_001001932,Eea1,95403297,95508152,+,Y,N,N,N,-291,CpG_End,CpG: 88,chr10,95403195,95403966,69.3,0.95,0.12,0,0,0,0,0,0,0,0,0,0,0,0.02,0,-0.02,0.340893132,0.467381748,0,1
SmaI_mm9_100222,chr10,95998212,-81423,0,NM_007569,Btg1,96079635,96085443,+,-87231,NM_007569,Btg1,96079635,96085443,+,N,N,N,N,-80907,CpG_Start,CpG: 128,chr10,96079119,96080418,64.9,0.94,86.78,89.5,88.46,91.17,91.05,87.61,85.36,86.36,86.81,88.64,92.1,87.64,89.095,87.81833333,-1.276666667,0.319131661,0.496030107,0,0
SmaI_mm9_100223,chr10,95998442,-81193,0,NM_007569,Btg1,96079635,96085443,+,-87001,NM_007569,Btg1,96079635,96085443,+,N,N,N,N,-80677,CpG_Start,CpG: 128,chr10,96079119,96080418,64.9,0.94,98.84,97.74,97.44,96.61,97.3,93.19,91.56,93.22,95.22,96.47,96.41,95.6,96.85333333,94.74666667,-2.106666667,0.090479601,1.043449323,0,0
SmaI_mm9_100229,chr10,96079582,-53,1,NM_007569,Btg1,96079635,96085443,+,-5861,NM_007569,Btg1,96079635,96085443,+,Y,N,N,N,463,CpG_Start,CpG: 128,chr10,96079119,96080418,64.9,0.94,0.18,0.08,0.11,0.38,0.65,0.16,0.24,0.07,0.07,0.26,0.44,0.08,0.26,0.193333333,-0.066666667,0.550066591,0.259584732,0,0
SmaI_mm9_100230,chr10,96079893,258,1,NM_007569,Btg1,96079635,96085443,+,-5550,NM_007569,Btg1,96079635,96085443,+,Y,N,N,N,-525,CpG_End,CpG: 128,chr10,96079119,96080418,64.9,0.94,0,0.08,0,0.1,0,0,0,0.07,0,0,0,0,0.03,0.011666667,-0.018333333,0.432621348,0.363892054,0,1
SmaI_mm9_100232,chr10,96079978,343,1,NM_007569,Btg1,96079635,96085443,+,-5465,NM_007569,Btg1,96079635,96085443,+,Y,N,N,N,-440,CpG_End,CpG: 128,chr10,96079119,96080418,64.9,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SmaI_mm9_100233,chr10,96080396,761,0,NM_007569,Btg1,96079635,96085443,+,-5047,NM_007569,Btg1,96079635,96085443,+,Y,N,N,N,-22,CpG_End,CpG: 128,chr10,96079119,96080418,64.9,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SmaI_mm9_100308,chr10,98214261,-163525,0,NM_026482,Atp2b1,98377786,98488775,+,-274514,NM_026482,Atp2b1,98377786,98488775,+,N,N,N,N,-162207,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,17.87,29.56,26.63,38.67,37.89,28.86,39.1,19.68,54.16,36.14,42.02,23.55,29.91333333,35.775,5.861666667,0.354615651,0.450242101,0,0
SmaI_mm9_100309,chr10,98214553,-163233,0,NM_026482,Atp2b1,98377786,98488775,+,-274222,NM_026482,Atp2b1,98377786,98488775,+,N,MLT1K,LTR,MaLR,-161915,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,10.34,11.88,14.41,20.8,19.28,11.69,27.95,11.84,36.63,18.87,28.36,12.2,14.73333333,22.64166667,7.908333333,0.105064139,0.978545494,0,0
SmaI_mm9_100317,chr10,98376718,-1068,0,NM_026482,Atp2b1,98377786,98488775,+,-112057,NM_026482,Atp2b1,98377786,98488775,+,Y,N,N,N,250,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SmaI_mm9_100318,chr10,98377131,-655,1,NM_026482,Atp2b1,98377786,98488775,+,-111644,NM_026482,Atp2b1,98377786,98488775,+,Y,N,N,N,663,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,0,0,0,0.27,0,0,0,0,0,0,0,0,0.045,0,-0.045,0.340893132,0.467381748,0,0
SmaI_mm9_100319,chr10,98377563,-223,1,NM_026482,Atp2b1,98377786,98488775,+,-111212,NM_026482,Atp2b1,98377786,98488775,+,Y,N,N,N,-978,CpG_End,CpG: 223,chr10,98376468,98378541,63.5,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SmaI_mm9_100332,chr10,98570008,203,1,NM_027740,Wdr51b,98569805,98660622,+,-5871,NM_015737,Galnt4,98570769,98575879,+,Y,N,N,N,-367,CpG_End,CpG: 106,chr10,98569416,98570375,67.9,0.96,0.08,0,0.1,0,0,0.07,0.08,0.07,0.23,0,0.21,0.07,0.041666667,0.11,0.068333333,0.130053982,0.885876346,0,1
SmaI_mm9_100333,chr10,98570345,-424,1,NM_015737,Galnt4,98570769,98575879,+,-5534,NM_015737,Galnt4,98570769,98575879,+,Y,N,N,N,-30,CpG_End,CpG: 106,chr10,98569416,98570375,67.9,0.96,0.25,0,0.1,0,0.09,0,0,0.07,0.08,0.09,0.11,0.07,0.073333333,0.07,-0.003333333,0.939665295,0.027026813,0,0
SmaI_mm9_100342,chr10,98667034,-58831,0,NM_026268,Dusp6,98725865,98730122,+,6412,NM_027740,Wdr51b,98569805,98660622,+,N,N,N,N,-57097,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,0.61,2,1.01,3.57,2.58,3.79,1.98,0.73,0.48,3.2,1.23,1.72,2.26,1.556666667,-0.703333333,0.316839519,0.499160655,0,0
SmaI_mm9_100343,chr10,98667329,-58536,0,NM_026268,Dusp6,98725865,98730122,+,6707,NM_027740,Wdr51b,98569805,98660622,+,N,N,N,N,-56802,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,0.61,1.8,0.76,3.52,2.84,2.69,0.87,0.3,0.33,1.99,0.86,0.9,2.036666667,0.875,-1.161666667,0.058335758,1.234065155,0,0
SmaI_mm9_100350,chr10,98724739,-1126,0,NM_026268,Dusp6,98725865,98730122,+,-5383,NM_026268,Dusp6,98725865,98730122,+,Y,N,N,N,608,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,0,0,0,0,0,0,0,0,0.23,0,0,0.24,0,0.078333333,0.078333333,0.145050031,0.838482174,0,0
SmaI_mm9_100351,chr10,98725135,-730,1,NM_026268,Dusp6,98725865,98730122,+,-4987,NM_026268,Dusp6,98725865,98730122,+,Y,N,N,N,1004,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SmaI_mm9_100365,chr10,98906919,181054,0,NM_026268,Dusp6,98725865,98730122,+,176797,NM_026268,Dusp6,98725865,98730122,+,N,N,N,N,180104,CpG_End,CpG: 195,chr10,98724131,98726815,57.9,0.87,91.52,92.38,98.15,NA,98.23,95.95,NA,97.31,97.4,99.21,99.08,95.31,95.246,97.662,2.416,0.165260675,0.781830478,0,0
SmaI_mm9_10037,chr1,179187839,-8941,0,NM_011785,Akt3,179178898,178952246,-,-193058,NM_013915,Zfp238,179375952,179380897,+,Y,C-rich,Low_complexity,Low_complexity,408,CpG_Start,CpG: 146,chr1,179187431,179189252,52.9,1.17,0.57,0,1.26,1.56,0.65,0.28,0.32,0.28,0.3,0.34,0,0,0.72,0.206666667,-0.513333333,0.066623957,1.176369577,0,0
SmaI_mm9_10038,chr1,179188190,-9292,0,NM_011785,Akt3,179178898,178952246,-,-192707,NM_013915,Zfp238,179375952,179380897,+,Y,G-rich,Low_complexity,Low_complexity,759,CpG_Start,CpG: 146,chr1,179187431,179189252,52.9,1.17,0.47,0,0.37,0,0,0,0,0,0,0,0,0,0.14,0,-0.14,0.148744479,0.827559145,0,0
SmaI_mm9_100380,chr10,99102004,120288,0,NM_027945,Csl,99222292,99220339,-,118335,NM_027945,Csl,99222292,99220339,-,N,N,N,N,375189,CpG_End,CpG: 195,chr10,98724131,98726815,57.9,0.87,93.72,95.66,90.93,94.08,95.37,93.53,94.05,82.84,89.82,90.76,87.58,82.64,93.88166667,87.94833333,-5.933333333,0.01333754,1.874924265,0,0
SmaI_mm9_100381,chr10,99102457,119835,0,NM_027945,Csl,99222292,99220339,-,117882,NM_027945,Csl,99222292,99220339,-,N,N,N,N,-375634,CpG_Start,CpG: 97,chr10,99478091,99479274,65.6,0.77,65.26,59.18,64.53,59.47,73.84,50.08,53.24,47.31,65.75,59.1,51.31,47.65,62.06,54.06,-8,0.096478857,1.01556785,0,0
SmaI_mm9_10039,chr1,179189098,-10200,0,NM_011785,Akt3,179178898,178952246,-,-191799,NM_013915,Zfp238,179375952,179380897,+,Y,N,N,N,-154,CpG_End,CpG: 146,chr1,179187431,179189252,52.9,1.17,0,0,0,0.3,0,0.12,0,0,0,0,0,0,0.07,0,-0.07,0.191765352,0.717229858,0,0
SmaI_mm9_100402,chr10,99478332,-126,1,NM_013598,Kitl,99478458,99563045,+,-84713,NM_013598,Kitl,99478458,99563045,+,Y,N,N,N,241,CpG_Start,CpG: 97,chr10,99478091,99479274,65.6,0.77,0.31,0,0,0.66,0,0,0,0,0.24,0,0.4,0,0.161666667,0.106666667,-0.055,0.686146258,0.163583301,0,0
SmaI_mm9_100403,chr10,99478687,229,1,NM_013598,Kitl,99478458,99563045,+,-84358,NM_013598,Kitl,99478458,99563045,+,Y,N,N,N,-587,CpG_End,CpG: 97,chr10,99478091,99479274,65.6,0.77,0,0,0,0,0,0,0,0.26,0.25,0,0.42,0,0,0.155,0.155,0.06135013,1.212184513,0,1
SmaI_mm9_100443,chr10,100051586,307,1,NM_175128,4930430F08Rik,100051893,100034908,-,15297,NM_146009,Cep290,99950923,100036289,+,Y,N,N,N,1,CpG_Start,CpG: 31,chr10,100051585,100051973,63.2,0.8,0,0,NA,0.71,NA,0,0,0,0,0,0,0,0.1775,0,-0.1775,0.241503972,0.617075722,0,1
SmaI_mm9_100444,chr10,100051790,103,1,NM_175128,4930430F08Rik,100051893,100034908,-,15501,NM_146009,Cep290,99950923,100036289,+,Y,N,N,N,-183,CpG_End,CpG: 31,chr10,100051585,100051973,63.2,0.8,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SmaI_mm9_10056,chr1,179373051,-1741,0,NM_001012330,Zfp238,179374792,179380897,+,-7846,NM_013915,Zfp238,179375952,179380897,+,N,G-rich,Low_complexity,Low_complexity,144,CpG_End,CpG: 132,chr1,179371623,179372907,58.6,1.2,0,0,0,0,0,0.29,0,0,0,0,0,0,0.048333333,0,-0.048333333,0.340893132,0.467381748,1,0
SmaI_mm9_10057,chr1,179373307,-1485,0,NM_001012330,Zfp238,179374792,179380897,+,-7590,NM_013915,Zfp238,179375952,179380897,+,N,N,N,N,400,CpG_End,CpG: 132,chr1,179371623,179372907,58.6,1.2,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.041666667,0.041666667,0.340893132,0.467381748,1,0
SmaI_mm9_100621,chr10,105010974,561,0,NM_177368,Tmtc2,105011535,104624720,-,189268,NM_207522,BC067068,105278436,105200242,-,Y,CT-rich,Low_complexity,Low_complexity,477,CpG_Start,CpG: 79,chr10,105010497,105011506,54.7,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SmaI_mm9_100622,chr10,105011337,198,1,NM_177368,Tmtc2,105011535,104624720,-,188905,NM_207522,BC067068,105278436,105200242,-,Y,N,N,N,-169,CpG_End,CpG: 79,chr10,105010497,105011506,54.7,1.07,0,0,0,0.19,0,0,0,0,0.17,0,0,0,0.031666667,0.028333333,-0.003333333,0.939020447,0.027324951,0,1
SmaI_mm9_100716,chr10,106921116,2074,0,NM_008656,Myf5,106923190,106919964,-,-1152,NM_008656,Myf5,106923190,106919964,-,N,N,N,N,211453,CpG_End,CpG: 55,chr10,106708927,106709663,67.4,0.66,58.41,40.77,55.57,48.77,61.78,41.62,47.98,44.45,63.18,52.97,49.63,42.36,51.15333333,50.095,-1.058333333,0.826714625,0.082644379,0,1
SmaI_mm9_100717,chr10,106921345,1845,0,NM_008656,Myf5,106923190,106919964,-,-1381,NM_008656,Myf5,106923190,106919964,-,N,N,N,N,211682,CpG_End,CpG: 55,chr10,106708927,106709663,67.4,0.66,66.86,54.14,65.91,64.81,68.44,55.65,64.97,64.69,66.8,61.72,65.05,63.14,62.635,64.395,1.76,0.514336769,0.288752428,0,1
SmaI_mm9_10073,chr1,179688735,28790,0,NM_027077,1700016C15Rik,179659945,179683436,+,4574,NM_007422,Adss,179726640,179693309,-,N,RLTR10-int,LTR,ERVK,-37331,CpG_Start,CpG: 76,chr1,179726066,179726925,65.2,0.84,98.5,97.53,99.24,98.29,100,99.05,98.39,99.15,97.2,97.57,99.34,96.9,98.76833333,98.09166667,-0.676666667,0.242646942,0.615025178,0,0
SmaI_mm9_100784,chr10,107768996,-249,1,NM_054056,Pawr,107769245,107851447,+,54365,NM_027892,Ppp1r12a,107599456,107714631,+,N,N,N,N,-204,CpG_Start,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0.09,0.09,0.340893132,0.467381748,1,0
SmaI_mm9_100785,chr10,107769471,226,1,NM_054056,Pawr,107769245,107851447,+,54840,NM_027892,Ppp1r12a,107599456,107714631,+,Y,N,N,N,271,CpG_Start,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,0,0,0,0,0,0,1.04,0.59,0.58,0,0,0,0.368333333,0.368333333,0.065548223,1.183439077,0,1
SmaI_mm9_100789,chr10,107769980,735,0,NM_054056,Pawr,107769245,107851447,+,55349,NM_027892,Ppp1r12a,107599456,107714631,+,Y,N,N,N,-384,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.093333333,0.093333333,0.340893132,0.467381748,0,1
SmaI_mm9_100790,chr10,107770222,977,0,NM_054056,Pawr,107769245,107851447,+,55591,NM_027892,Ppp1r12a,107599456,107714631,+,Y,N,N,N,-142,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,0,0,0,0,0.35,0,0,0,0,0,0,0.058333333,0,-0.058333333,0.340893132,0.467381748,0,1
SmaI_mm9_100800,chr10,107883747,114502,0,NM_054056,Pawr,107769245,107851447,+,32300,NM_054056,Pawr,107769245,107851447,+,N,N,N,N,113383,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,0.95,0.64,1.82,NA,1.83,1.71,0.4,1.73,1.37,2.16,1.5,1.048,1.478333333,0.430333333,0.327423371,0.484890325,0,0
SmaI_mm9_100801,chr10,107883964,114719,0,NM_054056,Pawr,107769245,107851447,+,32517,NM_054056,Pawr,107769245,107851447,+,N,N,N,N,113600,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,1.97,1.43,3.3,5.03,NA,4.37,1.76,1.7,5.01,1.89,3.82,0.81,3.22,2.498333333,-0.721666667,0.463723367,0.333741019,0,0
SmaI_mm9_100925,chr10,110360844,3612,0,NM_007792,Csrp2,110357232,110376570,+,-15726,NM_007792,Csrp2,110357232,110376570,+,N,N,N,N,3505,CpG_End,CpG: 58,chr10,110356809,110357339,67.2,0.97,34.7,40.06,42.08,47.84,35.03,38.03,63.53,36.18,55.14,42.33,59.24,43.46,39.62333333,49.98,10.35666667,0.058992951,1.229199879,0,1
SmaI_mm9_100926,chr10,110361125,3893,0,NM_007792,Csrp2,110357232,110376570,+,-15445,NM_007792,Csrp2,110357232,110376570,+,N,N,N,N,3786,CpG_End,CpG: 58,chr10,110356809,110357339,67.2,0.97,35.77,36.65,41.28,47.38,33.35,35.19,61.64,37.09,52.22,41.22,56.49,42,38.27,48.44333333,10.17333333,0.047739108,1.3211257,0,1
SmaI_mm9_100941,chr10,110446520,602,0,NM_172554,Zdhhc17,110447122,110378838,-,-67682,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,8,CpG_Start,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SmaI_mm9_100942,chr10,110446878,244,1,NM_172554,Zdhhc17,110447122,110378838,-,-68040,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,366,CpG_Start,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0,0,0,0,0,0,0.18,0.2,0,0,0,0,0.063333333,0.063333333,0.14567622,0.836611336,0,1
SmaI_mm9_100944,chr10,110446967,155,1,NM_172554,Zdhhc17,110447122,110378838,-,-68129,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,455,CpG_Start,CpG: 104,chr10,110446512,110447494,62.9,1.07,0.22,0,0,0,0,0,0.18,0,0,0,0,0.19,0.036666667,0.061666667,0.025,0.650588862,0.186693376,0,1
SmaI_mm9_100945,chr10,110447219,-97,1,NM_172554,Zdhhc17,110447122,110378838,-,-68381,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,-275,CpG_End,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.033333333,0.033333333,0.340893132,0.467381748,0,0
SmaI_mm9_100948,chr10,110447437,-315,1,NM_172554,Zdhhc17,110447122,110378838,-,-68599,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,-57,CpG_End,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0.16,0.41,0,0,0,0,0,0,0,0,0,0.095,0,-0.095,0.193840004,0.71255659,0,0
SmaI_mm9_100949,chr10,110447756,-634,1,NM_172554,Zdhhc17,110447122,110378838,-,-68918,NM_172554,Zdhhc17,110447122,110378838,-,N,N,N,N,262,CpG_End,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0.16,0,0.23,0.65,0,0,0,0,0,0.25,0.14,0.173333333,0.065,-0.108333333,0.356933996,0.447412086,1,0
