ID,Chromosome,Position,Distance2TSS_GeneA,In.prom,RefSeq_GeneA,Name_GeneA,TSS_GeneA,TSE_GeneA,Strand_GeneA,Distance2TSE_GeneB,RefSeq_GeneB,Name_GeneB,TSS_GeneB,TSE_GeneB,Strand_GeneB,inCpG,RepeatName,RepeatClass,RepeatFamily,Distance2CpG,Which_CpG_Edge,CpG_Name,CpG_Chr,CpG_Start,CpG_End,CpG_perGc,CpG_obsExp,SPFC1M1,SPFC1M2,SPFC2M1,SPFC2M2,SPFC3M1,SPFC3M2,AvgWT,SpfKoC4M1,SpfKoC4M2,SpfKoC4M5,SpfKoC5M1,SpfKoC5M3,SpfKoC5M4,AvgKO,KO.WT,ttest2,pttest2,cgi.shore,in.gene
SmaI_mm9_100109,chr10,94453729,-46517,0,NM_018797,Plxnc1,94407212,94253612,-,183651,NM_009950,Cradd,94786731,94637380,-,N,MLT1E3,LTR,MaLR,45529,CpG_End,CpG: 185,chr10,94406235,94408200,61.1,1.01,19.34,7.96,24.37,9.17,18.08,7.04,14.32666667,23.09,17.01,14.82,12.64,24.55,27.9,20.00166667,5.675,0.170473236,0.768343795,0,0
SmaI_mm9_100110,chr10,94453970,-46758,0,NM_018797,Plxnc1,94407212,94253612,-,183410,NM_009950,Cradd,94786731,94637380,-,N,N,N,N,45770,CpG_End,CpG: 185,chr10,94406235,94408200,61.1,1.01,2.63,0.51,0.43,0.23,0.29,0.38,0.745,2.38,1.53,2.31,1.19,1.04,1.93,1.73,0.985,0.050917882,1.293129669,0,0
SmaI_mm9_100147,chr10,94878734,112,1,NM_001168655,Socs2,94878846,94874124,-,-4610,NM_007706,Socs2,94879491,94874124,-,Y,N,N,N,-995,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0.26,0,0,0,0,0.043333333,0,0.58,1.18,0.39,1,0,0.525,0.481666667,0.042144019,1.375264047,0,1
SmaI_mm9_100148,chr10,94879080,-234,1,NM_001168655,Socs2,94878846,94874124,-,-4956,NM_007706,Socs2,94879491,94874124,-,Y,N,N,N,-649,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0.26,0.31,0.35,0,0,0.153333333,2.19,2.05,1.59,1.95,1.28,2.13,1.865,1.711666667,9.19E-07,6.03682325,0,0
SmaI_mm9_100152,chr10,94880039,-548,1,NM_007706,Socs2,94879491,94874124,-,-5915,NM_007706,Socs2,94879491,94874124,-,N,N,N,N,310,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0,0,0,0,0,0,0.97,0.67,1.33,0.62,0.79,0.57,0.825,0.825,3.41E-05,4.467179808,1,0
SmaI_mm9_100153,chr10,94880288,-797,1,NM_007706,Socs2,94879491,94874124,-,-6164,NM_007706,Socs2,94879491,94874124,-,N,N,N,N,559,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0,0.69,0.49,0,0.74,0.32,0.93,1.13,0.63,1.79,0.76,1.97,1.201666667,0.881666667,0.008492296,2.070974885,1,0
SmaI_mm9_100155,chr10,94977770,-26,1,NM_080560,Ube2n,94977796,95008292,+,-30522,NM_080560,Ube2n,94977796,95008292,+,Y,N,N,N,473,CpG_Start,CpG: 141,chr10,94977297,94978527,67.7,1,0.14,0,0,0.15,0,0,0.048333333,0.24,0.28,0.49,0.46,0.27,0.32,0.343333333,0.295,0.000233759,3.631232259,0,0
SmaI_mm9_100156,chr10,94978079,283,1,NM_080560,Ube2n,94977796,95008292,+,-30213,NM_080560,Ube2n,94977796,95008292,+,Y,GC_rich,Low_complexity,Low_complexity,-448,CpG_End,CpG: 141,chr10,94977297,94978527,67.7,1,0,0.13,0,0,0,0,0.021666667,0.26,0.1,0.41,0.52,0.31,0.24,0.306666667,0.285,0.001119587,2.950942058,0,1
SmaI_mm9_100157,chr10,94978120,324,1,NM_080560,Ube2n,94977796,95008292,+,-30172,NM_080560,Ube2n,94977796,95008292,+,Y,N,N,N,-407,CpG_End,CpG: 141,chr10,94977297,94978527,67.7,1,0,0,0,0.57,0,0,0.095,0.12,0,0.16,0,0.1,0,0.063333333,-0.031666667,0.756708299,0.121071503,0,1
SmaI_mm9_100158,chr10,94978312,516,0,NM_080560,Ube2n,94977796,95008292,+,-29980,NM_080560,Ube2n,94977796,95008292,+,Y,N,N,N,-215,CpG_End,CpG: 141,chr10,94977297,94978527,67.7,1,0,0,0,0,0,0,0,0.25,0.27,0,0.14,0.19,0.14,0.165,0.165,0.001969899,2.705556068,0,1
SmaI_mm9_100189,chr10,95403303,6,1,NM_001001932,Eea1,95403297,95508152,+,-104849,NM_001001932,Eea1,95403297,95508152,+,Y,GC_rich,Low_complexity,Low_complexity,108,CpG_Start,CpG: 88,chr10,95403195,95403966,69.3,0.95,0,0,0,0.17,0,0.13,0.05,0,0,0,0,0,0,0,-0.05,0.149710229,0.824748525,0,1
SmaI_mm9_100190,chr10,95403675,378,1,NM_001001932,Eea1,95403297,95508152,+,-104477,NM_001001932,Eea1,95403297,95508152,+,Y,N,N,N,-291,CpG_End,CpG: 88,chr10,95403195,95403966,69.3,0.95,0,0,0,0,0,0,0,1.2,0,0,0.39,0,0.66,0.375,0.375,0.088401108,1.053542291,0,1
SmaI_mm9_100222,chr10,95998212,-81423,0,NM_007569,Btg1,96079635,96085443,+,-87231,NM_007569,Btg1,96079635,96085443,+,N,N,N,N,-80907,CpG_Start,CpG: 128,chr10,96079119,96080418,64.9,0.94,85.36,86.36,86.81,88.64,92.1,87.64,87.81833333,79.07,73.88,80.73,80.6,67.98,68.36,75.10333333,-12.715,0.000640592,3.193418252,0,0
SmaI_mm9_100223,chr10,95998442,-81193,0,NM_007569,Btg1,96079635,96085443,+,-87001,NM_007569,Btg1,96079635,96085443,+,N,N,N,N,-80677,CpG_Start,CpG: 128,chr10,96079119,96080418,64.9,0.94,91.56,93.22,95.22,96.47,96.41,95.6,94.74666667,86.66,85.52,87.05,87.75,77.42,79.62,84.00333333,-10.74333334,0.000261266,3.582917264,0,0
SmaI_mm9_100229,chr10,96079582,-53,1,NM_007569,Btg1,96079635,96085443,+,-5861,NM_007569,Btg1,96079635,96085443,+,Y,N,N,N,463,CpG_Start,CpG: 128,chr10,96079119,96080418,64.9,0.94,0.24,0.07,0.07,0.26,0.44,0.08,0.193333333,0.5,0.8,0.72,0.4,0.32,0.4,0.523333333,0.33,0.00788498,2.103199385,0,0
SmaI_mm9_100230,chr10,96079893,258,1,NM_007569,Btg1,96079635,96085443,+,-5550,NM_007569,Btg1,96079635,96085443,+,Y,N,N,N,-525,CpG_End,CpG: 128,chr10,96079119,96080418,64.9,0.94,0,0.07,0,0,0,0,0.011666667,0.26,0.5,0.58,0.6,0.65,0.42,0.501666667,0.49,9.42E-06,5.026061171,0,1
SmaI_mm9_100232,chr10,96079978,343,1,NM_007569,Btg1,96079635,96085443,+,-5465,NM_007569,Btg1,96079635,96085443,+,Y,N,N,N,-440,CpG_End,CpG: 128,chr10,96079119,96080418,64.9,0.94,0,0,0,0,0,0,0,NA,0,1.18,2.64,1.18,0,1,1,0.04918957,1.308126974,0,1
SmaI_mm9_100233,chr10,96080396,761,0,NM_007569,Btg1,96079635,96085443,+,-5047,NM_007569,Btg1,96079635,96085443,+,Y,N,N,N,-22,CpG_End,CpG: 128,chr10,96079119,96080418,64.9,0.94,0,0,0,0,0,0,0,0,0,1.1,0,1.09,0.86,0.508333333,0.508333333,0.051565247,1.287642896,0,1
SmaI_mm9_100308,chr10,98214261,-163525,0,NM_026482,Atp2b1,98377786,98488775,+,-274514,NM_026482,Atp2b1,98377786,98488775,+,N,N,N,N,-162207,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,39.1,19.68,54.16,36.14,42.02,23.55,35.775,62.38,50.32,42.14,36.71,60.13,61.79,52.245,16.47,0.036614968,1.436341344,0,0
SmaI_mm9_100309,chr10,98214553,-163233,0,NM_026482,Atp2b1,98377786,98488775,+,-274222,NM_026482,Atp2b1,98377786,98488775,+,N,MLT1K,LTR,MaLR,-161915,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,27.95,11.84,36.63,18.87,28.36,12.2,22.64166667,46.89,33.73,26.55,25.29,43.09,49.36,37.485,14.84333333,0.030319344,1.518280194,0,0
SmaI_mm9_100317,chr10,98376718,-1068,0,NM_026482,Atp2b1,98377786,98488775,+,-112057,NM_026482,Atp2b1,98377786,98488775,+,Y,N,N,N,250,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0
SmaI_mm9_100318,chr10,98377131,-655,1,NM_026482,Atp2b1,98377786,98488775,+,-111644,NM_026482,Atp2b1,98377786,98488775,+,Y,N,N,N,663,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,0,0,0,0,0,0,0,1.44,0.48,0,0.74,1.25,1.51,0.903333333,0.903333333,0.004178524,2.378977131,0,0
SmaI_mm9_100332,chr10,98570008,203,1,NM_027740,Wdr51b,98569805,98660622,+,-5871,NM_015737,Galnt4,98570769,98575879,+,Y,N,N,N,-367,CpG_End,CpG: 106,chr10,98569416,98570375,67.9,0.96,0.08,0.07,0.23,0,0.21,0.07,0.11,0.09,0.23,0.2,0.49,0.41,0.34,0.293333333,0.183333333,0.026480246,1.577077982,0,1
SmaI_mm9_100333,chr10,98570345,-424,1,NM_015737,Galnt4,98570769,98575879,+,-5534,NM_015737,Galnt4,98570769,98575879,+,Y,N,N,N,-30,CpG_End,CpG: 106,chr10,98569416,98570375,67.9,0.96,0,0.07,0.08,0.09,0.11,0.07,0.07,1.09,0.72,0.67,0.81,0.95,1.09,0.888333333,0.818333333,8.26E-07,6.083207685,0,0
SmaI_mm9_100342,chr10,98667034,-58831,0,NM_026268,Dusp6,98725865,98730122,+,6412,NM_027740,Wdr51b,98569805,98660622,+,N,N,N,N,-57097,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,1.98,0.73,0.48,3.2,1.23,1.72,1.556666667,0.65,3.72,4.59,5.02,0.62,1.1,2.616666667,1.06,0.280511206,0.552049785,0,0
SmaI_mm9_100343,chr10,98667329,-58536,0,NM_026268,Dusp6,98725865,98730122,+,6707,NM_027740,Wdr51b,98569805,98660622,+,N,N,N,N,-56802,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,0.87,0.3,0.33,1.99,0.86,0.9,0.875,0.43,0.48,1.05,0.87,0.14,0.29,0.543333333,-0.331666667,0.2754085,0.56002266,0,0
SmaI_mm9_100350,chr10,98724739,-1126,0,NM_026268,Dusp6,98725865,98730122,+,-5383,NM_026268,Dusp6,98725865,98730122,+,Y,N,N,N,608,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,0,0,0.23,0,0,0.24,0.078333333,0,0.71,0,0,0,0,0.118333333,0.04,0.761604942,0.118270247,0,0
SmaI_mm9_100351,chr10,98725135,-730,1,NM_026268,Dusp6,98725865,98730122,+,-4987,NM_026268,Dusp6,98725865,98730122,+,Y,N,N,N,1004,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,0,0,0,0,0,0,0,0.94,0.71,0.88,1.42,0.38,0.45,0.796666667,0.796666667,0.000430188,3.366341811,0,0
SmaI_mm9_10037,chr1,179187839,-8941,0,NM_011785,Akt3,179178898,178952246,-,-193058,NM_013915,Zfp238,179375952,179380897,+,Y,C-rich,Low_complexity,Low_complexity,408,CpG_Start,CpG: 146,chr1,179187431,179189252,52.9,1.17,0.32,0.28,0.3,0.34,0,0,0.206666667,0.33,0,0.39,0,0.4,0,0.186666667,-0.02,0.855171926,0.067946565,0,0
SmaI_mm9_10038,chr1,179188190,-9292,0,NM_011785,Akt3,179178898,178952246,-,-192707,NM_013915,Zfp238,179375952,179380897,+,Y,G-rich,Low_complexity,Low_complexity,759,CpG_Start,CpG: 146,chr1,179187431,179189252,52.9,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SmaI_mm9_10039,chr1,179189098,-10200,0,NM_011785,Akt3,179178898,178952246,-,-191799,NM_013915,Zfp238,179375952,179380897,+,Y,N,N,N,-154,CpG_End,CpG: 146,chr1,179187431,179189252,52.9,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SmaI_mm9_100402,chr10,99478332,-126,1,NM_013598,Kitl,99478458,99563045,+,-84713,NM_013598,Kitl,99478458,99563045,+,Y,N,N,N,241,CpG_Start,CpG: 97,chr10,99478091,99479274,65.6,0.77,0,0,0.24,0,0.4,0,0.106666667,1.02,0.25,1.79,0.34,1.21,2.57,1.196666667,1.09,0.014117599,1.850239152,0,0
SmaI_mm9_100403,chr10,99478687,229,1,NM_013598,Kitl,99478458,99563045,+,-84358,NM_013598,Kitl,99478458,99563045,+,Y,N,N,N,-587,CpG_End,CpG: 97,chr10,99478091,99479274,65.6,0.77,0,0.26,0.25,0,0.42,0,0.155,1.09,0.77,3.95,1.09,2.24,0.29,1.571666667,1.416666667,0.02721299,1.565223739,0,1
SmaI_mm9_100443,chr10,100051586,307,1,NM_175128,4930430F08Rik,100051893,100034908,-,15297,NM_146009,Cep290,99950923,100036289,+,Y,N,N,N,1,CpG_Start,CpG: 31,chr10,100051585,100051973,63.2,0.8,0,0,0,0,0,0,0,0.15,0.42,0,0.15,0.14,0.56,0.236666667,0.236666667,0.019688068,1.705796896,0,1
SmaI_mm9_100444,chr10,100051790,103,1,NM_175128,4930430F08Rik,100051893,100034908,-,15501,NM_146009,Cep290,99950923,100036289,+,Y,N,N,N,-183,CpG_End,CpG: 31,chr10,100051585,100051973,63.2,0.8,0,0,0,0,0,0,0,0,0,0,0.16,0,0.3,0.076666667,0.076666667,0.169266129,0.771429937,0,1
SmaI_mm9_10056,chr1,179373051,-1741,0,NM_001012330,Zfp238,179374792,179380897,+,-7846,NM_013915,Zfp238,179375952,179380897,+,N,G-rich,Low_complexity,Low_complexity,144,CpG_End,CpG: 132,chr1,179371623,179372907,58.6,1.2,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0.073333333,0.073333333,0.340893132,0.467381748,1,0
SmaI_mm9_10057,chr1,179373307,-1485,0,NM_001012330,Zfp238,179374792,179380897,+,-7590,NM_013915,Zfp238,179375952,179380897,+,N,N,N,N,400,CpG_End,CpG: 132,chr1,179371623,179372907,58.6,1.2,0,0,0.25,0,0,0,0.041666667,0,0.41,0.22,0.27,0,0.22,0.186666667,0.145,0.091351075,1.039286339,1,0
SmaI_mm9_100621,chr10,105010974,561,0,NM_177368,Tmtc2,105011535,104624720,-,189268,NM_207522,BC067068,105278436,105200242,-,Y,CT-rich,Low_complexity,Low_complexity,477,CpG_Start,CpG: 79,chr10,105010497,105011506,54.7,1.07,0,0,0,0,0,0,0,0.38,0.28,0,0.37,0,0.69,0.286666667,0.286666667,0.023013363,1.63801991,0,1
SmaI_mm9_100622,chr10,105011337,198,1,NM_177368,Tmtc2,105011535,104624720,-,188905,NM_207522,BC067068,105278436,105200242,-,Y,N,N,N,-169,CpG_End,CpG: 79,chr10,105010497,105011506,54.7,1.07,0,0,0.17,0,0,0,0.028333333,0,0.3,0,0.39,0.59,0.36,0.273333333,0.245,0.033212885,1.478693392,0,1
SmaI_mm9_100716,chr10,106921116,2074,0,NM_008656,Myf5,106923190,106919964,-,-1152,NM_008656,Myf5,106923190,106919964,-,N,N,N,N,211453,CpG_End,CpG: 55,chr10,106708927,106709663,67.4,0.66,47.98,44.45,63.18,52.97,49.63,42.36,50.095,61.71,64.11,51.54,60.03,65.68,74.8,62.97833333,12.88333333,0.014098666,1.850821979,0,1
SmaI_mm9_100717,chr10,106921345,1845,0,NM_008656,Myf5,106923190,106919964,-,-1381,NM_008656,Myf5,106923190,106919964,-,N,N,N,N,211682,CpG_End,CpG: 55,chr10,106708927,106709663,67.4,0.66,64.97,64.69,66.8,61.72,65.05,63.14,64.395,63.06,65.74,60.13,62.06,68.57,72.77,65.38833333,0.99333333,0.635999747,0.196543057,0,1
SmaI_mm9_10073,chr1,179688735,28790,0,NM_027077,1700016C15Rik,179659945,179683436,+,4574,NM_007422,Adss,179726640,179693309,-,N,RLTR10-int,LTR,ERVK,-37331,CpG_Start,CpG: 76,chr1,179726066,179726925,65.2,0.84,98.39,99.15,97.2,97.57,99.34,96.9,98.09166667,97.31,97.51,97.63,97,96.17,97.08,97.11666667,-0.975,0.064701436,1.189086079,0,0
SmaI_mm9_100785,chr10,107769471,226,1,NM_054056,Pawr,107769245,107851447,+,54840,NM_027892,Ppp1r12a,107599456,107714631,+,Y,N,N,N,271,CpG_Start,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,1.04,0.59,0.58,0,0,0.368333333,0.95,0.77,0,0,0,0.8,0.42,0.051666667,0.846505778,0.072370073,0,1
SmaI_mm9_100789,chr10,107769980,735,0,NM_054056,Pawr,107769245,107851447,+,55349,NM_027892,Ppp1r12a,107599456,107714631,+,Y,N,N,N,-384,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,0,0,0,0,0.56,0.093333333,0.73,0.16,0.38,0.48,0.16,0.32,0.371666667,0.278333334,0.05522434,1.257869465,0,1
SmaI_mm9_100790,chr10,107770222,977,0,NM_054056,Pawr,107769245,107851447,+,55591,NM_027892,Ppp1r12a,107599456,107714631,+,Y,N,N,N,-142,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,0,0,0,0,0,0,0.26,0,0.95,0,0.97,0.55,0.455,0.455,0.029941475,1.523726814,0,1
SmaI_mm9_100800,chr10,107883747,114502,0,NM_054056,Pawr,107769245,107851447,+,32300,NM_054056,Pawr,107769245,107851447,+,N,N,N,N,113383,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,1.71,0.4,1.73,1.37,2.16,1.5,1.478333333,2.5,1.69,0.86,1.34,2.48,3.01,1.98,0.501666667,0.251042027,0.600253567,0,0
SmaI_mm9_100801,chr10,107883964,114719,0,NM_054056,Pawr,107769245,107851447,+,32517,NM_054056,Pawr,107769245,107851447,+,N,N,N,N,113600,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,1.76,1.7,5.01,1.89,3.82,0.81,2.498333333,4.12,3.54,2.38,2.43,3.78,4.87,3.52,1.021666667,0.206956129,0.684121708,0,0
SmaI_mm9_100925,chr10,110360844,3612,0,NM_007792,Csrp2,110357232,110376570,+,-15726,NM_007792,Csrp2,110357232,110376570,+,N,N,N,N,3505,CpG_End,CpG: 58,chr10,110356809,110357339,67.2,0.97,63.53,36.18,55.14,42.33,59.24,43.46,49.98,69.3,58.56,49.67,47.37,72.27,71.28,61.40833333,11.42833333,0.101904597,0.991806226,0,1
SmaI_mm9_100926,chr10,110361125,3893,0,NM_007792,Csrp2,110357232,110376570,+,-15445,NM_007792,Csrp2,110357232,110376570,+,N,N,N,N,3786,CpG_End,CpG: 58,chr10,110356809,110357339,67.2,0.97,61.64,37.09,52.22,41.22,56.49,42,48.44333333,66.34,56.97,48.41,41.18,65.66,71.45,58.335,9.89166667,0.142774978,0.845347898,0,1
SmaI_mm9_100941,chr10,110446520,602,0,NM_172554,Zdhhc17,110447122,110378838,-,-67682,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,8,CpG_Start,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.041666667,0.041666667,0.340893132,0.467381748,0,1
SmaI_mm9_100942,chr10,110446878,244,1,NM_172554,Zdhhc17,110447122,110378838,-,-68040,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,366,CpG_Start,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0.18,0.2,0,0,0,0.063333333,0,0,0.26,0,0,0,0.043333333,-0.02,0.741913402,0.129646784,0,1
SmaI_mm9_100944,chr10,110446967,155,1,NM_172554,Zdhhc17,110447122,110378838,-,-68129,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,455,CpG_Start,CpG: 104,chr10,110446512,110447494,62.9,1.07,0.18,0,0,0,0,0.19,0.061666667,0,0.18,0,0.22,0.09,0.1,0.098333333,0.036666666,0.51037135,0.292113713,0,1
SmaI_mm9_100945,chr10,110447219,-97,1,NM_172554,Zdhhc17,110447122,110378838,-,-68381,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,-275,CpG_End,CpG: 104,chr10,110446512,110447494,62.9,1.07,0.2,0,0,0,0,0,0.033333333,0.11,0,0,0.12,0.1,0,0.055,0.021666667,0.613030491,0.212517924,0,0
SmaI_mm9_100948,chr10,110447437,-315,1,NM_172554,Zdhhc17,110447122,110378838,-,-68599,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,-57,CpG_End,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0,0,0,0,0,0,0.66,0.29,0.51,0.32,0.14,0.17,0.348333333,0.348333333,0.001722241,2.763906091,0,0
SmaI_mm9_100949,chr10,110447756,-634,1,NM_172554,Zdhhc17,110447122,110378838,-,-68918,NM_172554,Zdhhc17,110447122,110378838,-,N,N,N,N,262,CpG_End,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0,0,0,0.25,0.14,0.065,0,0.88,0.87,1.32,1,0.7,0.795,0.73,0.002761549,2.558847253,1,0
SmaI_mm9_10103,chr1,180266564,1351,0,NM_016805,Hnrnpu,180267915,180258431,-,-8133,NM_016805,Hnrnpu,180267915,180258431,-,Y,N,N,N,13,CpG_Start,CpG: 200,chr1,180266551,180268143,70.8,1.03,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0.298333333,0.298333333,0.340893132,0.467381748,0,1
SmaI_mm9_10104,chr1,180266958,957,0,NM_016805,Hnrnpu,180267915,180258431,-,-8527,NM_016805,Hnrnpu,180267915,180258431,-,Y,N,N,N,407,CpG_Start,CpG: 200,chr1,180266551,180268143,70.8,1.03,0,0,0,0,0,0,0,0.92,0.35,0,0,0,0,0.211666667,0.211666667,0.195991361,0.707763071,0,1
SmaI_mm9_10105,chr1,180267541,374,1,NM_016805,Hnrnpu,180267915,180258431,-,-9110,NM_016805,Hnrnpu,180267915,180258431,-,Y,N,N,N,-602,CpG_End,CpG: 200,chr1,180266551,180268143,70.8,1.03,0.25,0,0,0,0,0,0.041666667,0,0.31,0.76,0,0.31,0.53,0.318333333,0.276666666,0.056646704,1.246825357,0,1
SmaI_mm9_10106,chr1,180267777,138,1,NM_016805,Hnrnpu,180267915,180258431,-,-9346,NM_016805,Hnrnpu,180267915,180258431,-,Y,N,N,N,-366,CpG_End,CpG: 200,chr1,180266551,180268143,70.8,1.03,0,0,0,0,0,0,0,0.16,0.62,0.55,0.37,0.16,0.36,0.37,0.37,0.000798387,3.097786444,0,1
SmaI_mm9_101088,chr10,114238538,-112,1,NM_146241,Trhde,114238426,113835877,-,277161,NM_173391,Tph2,114622078,114515699,-,Y,N,N,N,-719,CpG_End,CpG: 150,chr10,114237496,114239257,64.3,0.82,4.67,4.4,5.96,10.78,7.44,5.48,6.455,13.67,16.83,18.45,15.88,18.68,19.75,17.21,10.755,1.05E-05,4.976875613,0,0
