ID,Chromosome,Position,Distance2TSS_GeneA,In.prom,RefSeq_GeneA,Name_GeneA,TSS_GeneA,TSE_GeneA,Strand_GeneA,Distance2TSE_GeneB,RefSeq_GeneB,Name_GeneB,TSS_GeneB,TSE_GeneB,Strand_GeneB,inCpG,RepeatName,RepeatClass,RepeatFamily,Distance2CpG,Which_CpG_Edge,CpG_Name,CpG_Chr,CpG_Start,CpG_End,CpG_perGc,CpG_obsExp,GF3_1,GF4_1,GF5_1,GF6_1,GF7_1,GF8_1,AvgWT,GfKoAomC2M1,GfKoAomC2M2,GfKoAomC3M1,GfKoAomC5F1,GfKoAomC5F2,GfKoAomC5F3,AvgKO,KO.WT,ttest2,pttest2,cgi.shore
SmaI_mm9_100190,chr10,95403675,378,1,NM_001001932,Eea1,95403297,95508152,+,-104477,NM_001001932,Eea1,95403297,95508152,+,Y,N,N,N,-291,CpG_End,CpG: 88,chr10,95403195,95403966,69.3,0.95,0.12,0,0,0,0,0,0.02,0,0,0,0,0,0,0,-0.02,0.340893132,0.467381748,0
SmaI_mm9_100222,chr10,95998212,-81423,0,NM_007569,Btg1,96079635,96085443,+,-87231,NM_007569,Btg1,96079635,96085443,+,N,N,N,N,-80907,CpG_Start,CpG: 128,chr10,96079119,96080418,64.9,0.94,86.78,89.5,88.46,91.17,91.05,87.61,89.095,87.42,90.24,89.34,91.93,89.57,89.84,89.72333333,0.62833333,0.521867132,0.282440055,0
SmaI_mm9_100223,chr10,95998442,-81193,0,NM_007569,Btg1,96079635,96085443,+,-87001,NM_007569,Btg1,96079635,96085443,+,N,N,N,N,-80677,CpG_Start,CpG: 128,chr10,96079119,96080418,64.9,0.94,98.84,97.74,97.44,96.61,97.3,93.19,96.85333333,94.59,93.96,95.77,97.09,96.01,93.17,95.09833333,-1.755,0.106024718,0.974592876,0
SmaI_mm9_100229,chr10,96079582,-53,1,NM_007569,Btg1,96079635,96085443,+,-5861,NM_007569,Btg1,96079635,96085443,+,Y,N,N,N,463,CpG_Start,CpG: 128,chr10,96079119,96080418,64.9,0.94,0.18,0.08,0.11,0.38,0.65,0.16,0.26,0.23,0.09,0.48,0.18,0.33,0,0.218333333,-0.041666667,0.720504699,0.142363182,0
SmaI_mm9_100230,chr10,96079893,258,1,NM_007569,Btg1,96079635,96085443,+,-5550,NM_007569,Btg1,96079635,96085443,+,Y,N,N,N,-525,CpG_End,CpG: 128,chr10,96079119,96080418,64.9,0.94,0,0.08,0,0.1,0,0,0.03,0,0,0,0,0.05,0.08,0.021666667,-0.008333333,0.734169558,0.134203627,0
SmaI_mm9_100308,chr10,98214261,-163525,0,NM_026482,Atp2b1,98377786,98488775,+,-274514,NM_026482,Atp2b1,98377786,98488775,+,N,N,N,N,-162207,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,17.87,29.56,26.63,38.67,37.89,28.86,29.91333333,20.47,18.81,26.11,24.73,20.93,12.79,20.64,-9.27333333,0.030848367,1.51076782,0
SmaI_mm9_100309,chr10,98214553,-163233,0,NM_026482,Atp2b1,98377786,98488775,+,-274222,NM_026482,Atp2b1,98377786,98488775,+,N,MLT1K,LTR,MaLR,-161915,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,10.34,11.88,14.41,20.8,19.28,11.69,14.73333333,12.78,12.65,20.76,14.86,16.23,12.55,14.97166667,0.23833334,0.915944636,0.038130777,0
SmaI_mm9_100317,chr10,98376718,-1068,0,NM_026482,Atp2b1,98377786,98488775,+,-112057,NM_026482,Atp2b1,98377786,98488775,+,Y,N,N,N,250,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SmaI_mm9_100318,chr10,98377131,-655,1,NM_026482,Atp2b1,98377786,98488775,+,-111644,NM_026482,Atp2b1,98377786,98488775,+,Y,N,N,N,663,CpG_Start,CpG: 223,chr10,98376468,98378541,63.5,1.07,0,0,0,0.27,0,0,0.045,0,0,0,0,0,0,0,-0.045,0.340893132,0.467381748,0
SmaI_mm9_100332,chr10,98570008,203,1,NM_027740,Wdr51b,98569805,98660622,+,-5871,NM_015737,Galnt4,98570769,98575879,+,Y,N,N,N,-367,CpG_End,CpG: 106,chr10,98569416,98570375,67.9,0.96,0.08,0,0.1,0,0,0.07,0.041666667,0,0,0.04,0,0.03,0.05,0.02,-0.021666667,0.330865152,0.480348972,0
SmaI_mm9_100333,chr10,98570345,-424,1,NM_015737,Galnt4,98570769,98575879,+,-5534,NM_015737,Galnt4,98570769,98575879,+,Y,N,N,N,-30,CpG_End,CpG: 106,chr10,98569416,98570375,67.9,0.96,0.25,0,0.1,0,0.09,0,0.073333333,0,0.19,0,0.06,0,0,0.041666667,-0.031666666,0.547502778,0.261613673,0
SmaI_mm9_100342,chr10,98667034,-58831,0,NM_026268,Dusp6,98725865,98730122,+,6412,NM_027740,Wdr51b,98569805,98660622,+,N,N,N,N,-57097,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,0.61,2,1.01,3.57,2.58,3.79,2.26,1.45,1.35,0.96,1.82,0.15,0.38,1.018333333,-1.241666667,0.06341454,1.197811155,0
SmaI_mm9_100343,chr10,98667329,-58536,0,NM_026268,Dusp6,98725865,98730122,+,6707,NM_027740,Wdr51b,98569805,98660622,+,N,N,N,N,-56802,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,0.61,1.8,0.76,3.52,2.84,2.69,2.036666667,0.79,0.71,0.27,1.07,0.16,0.21,0.535,-1.501666667,0.014151978,1.849182845,0
SmaI_mm9_100350,chr10,98724739,-1126,0,NM_026268,Dusp6,98725865,98730122,+,-5383,NM_026268,Dusp6,98725865,98730122,+,Y,N,N,N,608,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.031666667,0.031666667,0.340893132,0.467381748,0
SmaI_mm9_100351,chr10,98725135,-730,1,NM_026268,Dusp6,98725865,98730122,+,-4987,NM_026268,Dusp6,98725865,98730122,+,Y,N,N,N,1004,CpG_Start,CpG: 195,chr10,98724131,98726815,57.9,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SmaI_mm9_10037,chr1,179187839,-8941,0,NM_011785,Akt3,179178898,178952246,-,-193058,NM_013915,Zfp238,179375952,179380897,+,Y,C-rich,Low_complexity,Low_complexity,408,CpG_Start,CpG: 146,chr1,179187431,179189252,52.9,1.17,0.57,0,1.26,1.56,0.65,0.28,0.72,0.52,0.38,0.25,0.63,0.5,0,0.38,-0.34,0.216682941,0.664175278,0
SmaI_mm9_10038,chr1,179188190,-9292,0,NM_011785,Akt3,179178898,178952246,-,-192707,NM_013915,Zfp238,179375952,179380897,+,Y,G-rich,Low_complexity,Low_complexity,759,CpG_Start,CpG: 146,chr1,179187431,179189252,52.9,1.17,0.47,0,0.37,0,0,0,0.14,0,0,0,0,0,0,0,-0.14,0.148744479,0.827559146,0
SmaI_mm9_10039,chr1,179189098,-10200,0,NM_011785,Akt3,179178898,178952246,-,-191799,NM_013915,Zfp238,179375952,179380897,+,Y,N,N,N,-154,CpG_End,CpG: 146,chr1,179187431,179189252,52.9,1.17,0,0,0,0.3,0,0.12,0.07,0.27,0.11,0.09,0,0.25,0,0.12,0.05,0.487312649,0.312192315,0
SmaI_mm9_100402,chr10,99478332,-126,1,NM_013598,Kitl,99478458,99563045,+,-84713,NM_013598,Kitl,99478458,99563045,+,Y,N,N,N,241,CpG_Start,CpG: 97,chr10,99478091,99479274,65.6,0.77,0.31,0,0,0.66,0,0,0.161666667,0,0,0,0.23,0,0,0.038333333,-0.123333334,0.321223875,0.493192183,0
SmaI_mm9_100403,chr10,99478687,229,1,NM_013598,Kitl,99478458,99563045,+,-84358,NM_013598,Kitl,99478458,99563045,+,Y,N,N,N,-587,CpG_End,CpG: 97,chr10,99478091,99479274,65.6,0.77,0,0,0,0,0,0,0,0,0,0.26,0,0.19,0,0.075,0.075,0.151424493,0.819803871,0
SmaI_mm9_100443,chr10,100051586,307,1,NM_175128,4930430F08Rik,100051893,100034908,-,15297,NM_146009,Cep290,99950923,100036289,+,Y,N,N,N,1,CpG_Start,CpG: 31,chr10,100051585,100051973,63.2,0.8,0,0,NA,0.71,NA,0,0.1775,0,0,0,0,0.1,0,0.016666667,-0.160833333,0.289743256,0.537986663,0
SmaI_mm9_100444,chr10,100051790,103,1,NM_175128,4930430F08Rik,100051893,100034908,-,15501,NM_146009,Cep290,99950923,100036289,+,Y,N,N,N,-183,CpG_End,CpG: 31,chr10,100051585,100051973,63.2,0.8,0,0,NA,0,NA,0,0,0.04,0,0,0.06,0.15,0.06,0.051666667,0.051666667,0.104433913,0.98115845,0
SmaI_mm9_10056,chr1,179373051,-1741,0,NM_001012330,Zfp238,179374792,179380897,+,-7846,NM_013915,Zfp238,179375952,179380897,+,N,G-rich,Low_complexity,Low_complexity,144,CpG_End,CpG: 132,chr1,179371623,179372907,58.6,1.2,0,0,0,0,0,0.29,0.048333333,0.16,0,0,0,0,0,0.026666667,-0.021666666,0.702924487,0.153091328,1
SmaI_mm9_10057,chr1,179373307,-1485,0,NM_001012330,Zfp238,179374792,179380897,+,-7590,NM_013915,Zfp238,179375952,179380897,+,N,N,N,N,400,CpG_End,CpG: 132,chr1,179371623,179372907,58.6,1.2,0,0,0,0,0,0,0,0.11,0,0,0,0.05,0,0.026666667,0.026666667,0.181303537,0.741593724,1
SmaI_mm9_100621,chr10,105010974,561,0,NM_177368,Tmtc2,105011535,104624720,-,189268,NM_207522,BC067068,105278436,105200242,-,Y,CT-rich,Low_complexity,Low_complexity,477,CpG_Start,CpG: 79,chr10,105010497,105011506,54.7,1.07,0,0,0,0,0,0,0,0,0,0.17,0,0,0.28,0.075,0.075,0.160793953,0.793730288,0
SmaI_mm9_100622,chr10,105011337,198,1,NM_177368,Tmtc2,105011535,104624720,-,188905,NM_207522,BC067068,105278436,105200242,-,Y,N,N,N,-169,CpG_End,CpG: 79,chr10,105010497,105011506,54.7,1.07,0,0,0,0.19,0,0,0.031666667,0,0,0,0,0,0,0,-0.031666667,0.340893132,0.467381748,0
SmaI_mm9_100716,chr10,106921116,2074,0,NM_008656,Myf5,106923190,106919964,-,-1152,NM_008656,Myf5,106923190,106919964,-,N,N,N,N,211453,CpG_End,CpG: 55,chr10,106708927,106709663,67.4,0.66,58.41,40.77,55.57,48.77,61.78,41.62,51.15333333,48.66,47.72,54.9,48.17,58.87,62.32,53.44,2.28666667,0.61532695,0.210894063,0
SmaI_mm9_100717,chr10,106921345,1845,0,NM_008656,Myf5,106923190,106919964,-,-1381,NM_008656,Myf5,106923190,106919964,-,N,N,N,N,211682,CpG_End,CpG: 55,chr10,106708927,106709663,67.4,0.66,66.86,54.14,65.91,64.81,68.44,55.65,62.635,58.7,53.98,59.64,58.31,59.75,64.75,59.18833333,-3.44666667,0.257849066,0.588634438,0
SmaI_mm9_10073,chr1,179688735,28790,0,NM_027077,1700016C15Rik,179659945,179683436,+,4574,NM_007422,Adss,179726640,179693309,-,N,RLTR10-int,LTR,ERVK,-37331,CpG_Start,CpG: 76,chr1,179726066,179726925,65.2,0.84,98.5,97.53,99.24,98.29,100,99.05,98.76833333,97.52,98.27,98.77,98.84,98.43,99.2,98.505,-0.26333333,0.546851758,0.262130388,0
SmaI_mm9_100785,chr10,107769471,226,1,NM_054056,Pawr,107769245,107851447,+,54840,NM_027892,Ppp1r12a,107599456,107714631,+,Y,N,N,N,271,CpG_Start,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SmaI_mm9_100789,chr10,107769980,735,0,NM_054056,Pawr,107769245,107851447,+,55349,NM_027892,Ppp1r12a,107599456,107714631,+,Y,N,N,N,-384,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,0,0,0,0,0,0,0.07,0,0.14,0,0,0,0.035,0.035,0.173948379,0.759579613,0
SmaI_mm9_100790,chr10,107770222,977,0,NM_054056,Pawr,107769245,107851447,+,55591,NM_027892,Ppp1r12a,107599456,107714631,+,Y,N,N,N,-142,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,0,0,0,0,0.35,0.058333333,0.16,0,0,0,0,0,0.026666667,-0.031666666,0.632170947,0.199165467,0
SmaI_mm9_100800,chr10,107883747,114502,0,NM_054056,Pawr,107769245,107851447,+,32300,NM_054056,Pawr,107769245,107851447,+,N,N,N,N,113383,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,0,0.95,0.64,1.82,NA,1.83,1.048,0.35,0.81,1.04,0.24,0.63,0.41,0.58,-0.468,0.20973629,0.678326419,0
SmaI_mm9_100801,chr10,107883964,114719,0,NM_054056,Pawr,107769245,107851447,+,32517,NM_054056,Pawr,107769245,107851447,+,N,N,N,N,113600,CpG_End,CpG: 152,chr10,107769200,107770364,70.7,1.04,1.97,1.43,3.3,5.03,NA,4.37,3.22,1.75,2.26,1.76,1.81,1.62,0.39,1.598333333,-1.621666667,0.041003431,1.387179802,0
SmaI_mm9_100925,chr10,110360844,3612,0,NM_007792,Csrp2,110357232,110376570,+,-15726,NM_007792,Csrp2,110357232,110376570,+,N,N,N,N,3505,CpG_End,CpG: 58,chr10,110356809,110357339,67.2,0.97,34.7,40.06,42.08,47.84,35.03,38.03,39.62333333,31.87,33.95,37,28.75,28.08,31.57,31.87,-7.75333333,0.009540354,2.020435489,0
SmaI_mm9_100926,chr10,110361125,3893,0,NM_007792,Csrp2,110357232,110376570,+,-15445,NM_007792,Csrp2,110357232,110376570,+,N,N,N,N,3786,CpG_End,CpG: 58,chr10,110356809,110357339,67.2,0.97,35.77,36.65,41.28,47.38,33.35,35.19,38.27,32.35,32.14,35.47,29.24,27.39,31.44,31.33833333,-6.93166667,0.016286572,1.788170322,0
SmaI_mm9_100941,chr10,110446520,602,0,NM_172554,Zdhhc17,110447122,110378838,-,-67682,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,8,CpG_Start,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SmaI_mm9_100942,chr10,110446878,244,1,NM_172554,Zdhhc17,110447122,110378838,-,-68040,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,366,CpG_Start,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SmaI_mm9_100944,chr10,110446967,155,1,NM_172554,Zdhhc17,110447122,110378838,-,-68129,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,455,CpG_Start,CpG: 104,chr10,110446512,110447494,62.9,1.07,0.22,0,0,0,0,0,0.036666667,0,0.04,0.09,0.1,0,0.05,0.046666667,0.01,0.810457667,0.091269665,0
SmaI_mm9_100945,chr10,110447219,-97,1,NM_172554,Zdhhc17,110447122,110378838,-,-68381,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,-275,CpG_End,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.008333333,0.008333333,0.340893132,0.467381748,0
SmaI_mm9_100948,chr10,110447437,-315,1,NM_172554,Zdhhc17,110447122,110378838,-,-68599,NM_172554,Zdhhc17,110447122,110378838,-,Y,N,N,N,-57,CpG_End,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0.16,0.41,0,0,0,0.095,0,0,0,0,0,0,0,-0.095,0.193840004,0.712556589,0
SmaI_mm9_100949,chr10,110447756,-634,1,NM_172554,Zdhhc17,110447122,110378838,-,-68918,NM_172554,Zdhhc17,110447122,110378838,-,N,N,N,N,262,CpG_End,CpG: 104,chr10,110446512,110447494,62.9,1.07,0,0.16,0,0.23,0.65,0,0.173333333,0,0,0,0,0,0.21,0.035,-0.138333333,0.233784138,0.631184958,1
SmaI_mm9_10103,chr1,180266564,1351,0,NM_016805,Hnrnpu,180267915,180258431,-,-8133,NM_016805,Hnrnpu,180267915,180258431,-,Y,N,N,N,13,CpG_Start,CpG: 200,chr1,180266551,180268143,70.8,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SmaI_mm9_10104,chr1,180266958,957,0,NM_016805,Hnrnpu,180267915,180258431,-,-8527,NM_016805,Hnrnpu,180267915,180258431,-,Y,N,N,N,407,CpG_Start,CpG: 200,chr1,180266551,180268143,70.8,1.03,0.16,0,0,0.19,0.38,0,0.121666667,0,0.49,0,0,0.21,0,0.116666667,-0.005,0.962330141,0.016675912,0
SmaI_mm9_10105,chr1,180267541,374,1,NM_016805,Hnrnpu,180267915,180258431,-,-9110,NM_016805,Hnrnpu,180267915,180258431,-,Y,N,N,N,-602,CpG_End,CpG: 200,chr1,180266551,180268143,70.8,1.03,0,0,0,0,0,0,0,0.09,0.05,0.05,0,0,0,0.031666667,0.031666667,0.066293897,1.178526451,0
SmaI_mm9_10106,chr1,180267777,138,1,NM_016805,Hnrnpu,180267915,180258431,-,-9346,NM_016805,Hnrnpu,180267915,180258431,-,Y,N,N,N,-366,CpG_End,CpG: 200,chr1,180266551,180268143,70.8,1.03,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.008333333,0.008333333,0.340893132,0.467381748,0
SmaI_mm9_101088,chr10,114238538,-112,1,NM_146241,Trhde,114238426,113835877,-,277161,NM_173391,Tph2,114622078,114515699,-,Y,N,N,N,-719,CpG_End,CpG: 150,chr10,114237496,114239257,64.3,0.82,3.08,3.64,3.35,5.93,2,1.71,3.285,4.97,3.92,5.04,4,7.25,8.24,5.57,2.285,0.036994883,1.431858347,0
SmaI_mm9_101089,chr10,114238797,-371,1,NM_146241,Trhde,114238426,113835877,-,276902,NM_173391,Tph2,114622078,114515699,-,Y,N,N,N,-460,CpG_End,CpG: 150,chr10,114237496,114239257,64.3,0.82,1.54,1.27,2.09,3.17,1.98,1.03,1.846666667,2.17,1.47,2.67,1.49,2.7,2.29,2.131666667,0.285,0.474409165,0.32384693,0
SmaI_mm9_10110,chr1,180335753,-259,1,NM_026626,Efcab2,180336012,180413380,+,-77322,NM_016805,Hnrnpu,180267915,180258431,-,N,N,N,N,-38,CpG_Start,CpG: 88,chr1,180335791,180336802,65.1,0.82,0,0,0,0,0,0.42,0.07,0,0,0,0,0,0,0,-0.07,0.340893132,0.467381748,1
SmaI_mm9_101107,chr10,114752483,164,1,NM_024454,Rab21,114752647,114726918,-,25313,NM_133683,Tmem19,114799318,114777796,-,Y,GC_rich,Low_complexity,Low_complexity,272,CpG_Start,CpG: 52,chr10,114752211,114752763,57.5,1.15,0,0,0,0,0.32,0,0.053333333,0,0,0,0.03,0,0.03,0.01,-0.043333333,0.438523231,0.358007394,0
SmaI_mm9_101108,chr10,114752752,-105,1,NM_024454,Rab21,114752647,114726918,-,25044,NM_133683,Tmem19,114799318,114777796,-,Y,N,N,N,-11,CpG_End,CpG: 52,chr10,114752211,114752763,57.5,1.15,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0.011666667,0.011666667,0.340893132,0.467381748,0
SmaI_mm9_10111,chr1,180336212,200,1,NM_026626,Efcab2,180336012,180413380,+,-77168,NM_026626,Efcab2,180336012,180413380,+,Y,N,N,N,421,CpG_Start,CpG: 88,chr1,180335791,180336802,65.1,0.82,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0.031666667,0.031666667,0.340893132,0.467381748,0
SmaI_mm9_101113,chr10,114799193,125,1,NM_133683,Tmem19,114799318,114777796,-,7829,NM_025780,Thap2,114821491,114807022,-,Y,N,N,N,72,CpG_Start,CpG: 44,chr10,114799121,114799649,57.1,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
